Utterance	condition	Probability	YMax	YMin	ModelType
basic	item12	0.217119781292102	0.271500638385533	0.167234837887142	nondet-cost
basic	item22	0.585071601539811	0.634034386611079	0.535019034239679	nondet-cost
basic	item23	0.570842923740059	0.619214450645295	0.520059558483521	nondet-cost
basic	item33	0.478257810571373	0.517298174279485	0.438524193077122	nondet-cost
sub	item12	0.755141174376831	0.807395184532161	0.699905335814984	nondet-cost
sub	item22	0.407863390248742	0.458595708879466	0.354201989839866	nondet-cost
sub	item23	0.385676157818638	0.436032650215418	0.340278217204134	nondet-cost
sub	item33	0.296943855842727	0.333823830544442	0.261404201200309	nondet-cost
super	item12	0.0236397269886529	0.0326736490892404	0.0155617955156968	nondet-cost
super	item22	0.00764193792174094	0.0101628566595979	0.0055891361615566	nondet-cost
super	item23	0.0352745164429709	0.0420495968161376	0.0283766241208967	nondet-cost
super	item33	0.228285463538242	0.255024930011667	0.203903096451623	nondet-cost
