Utterance,condition,target,alt1,alt2,Probability,YMax,YMin
basic,item12,bedsidetable,sidetable,wardrobe,0.19938819076764,0.19938819076764,0.19938819076764
basic,item12,blackbear,bison,koalabear,0.247522608707028,0.247522608707028,0.247522608707028
basic,item12,blackbear,cow,koalabear,0.247522608707028,0.247522608707028,0.247522608707028
basic,item12,blackbear,koalabear,lobster,0.247522608707028,0.247522608707028,0.247522608707028
basic,item12,catfish,cow,discusfish,0.18168956035332,0.18168956035332,0.18168956035332
basic,item12,catfish,discusfish,iguana,0.18168956035332,0.18168956035332,0.18168956035332
basic,item12,catfish,discusfish,pig,0.18168956035332,0.18168956035332,0.18168956035332
basic,item12,catfish,discusfish,sheep,0.18168956035332,0.18168956035332,0.18168956035332
basic,item12,clownfish,discusfish,horse,0.239312098837407,0.239312098837407,0.239312098837407
basic,item12,clownfish,discusfish,pig,0.239312098837407,0.239312098837407,0.239312098837407
basic,item12,clownfish,discusfish,snake,0.239312098837407,0.239312098837407,0.239312098837407
basic,item12,clownfish,discusfish,squirrel,0.239312098837407,0.239312098837407,0.239312098837407
basic,item12,coffeetable,bed,sidetable,0.213220581629513,0.213220581629513,0.213220581629513
basic,item12,coffeetable,bookcase,sidetable,0.213220581629513,0.213220581629513,0.213220581629513
basic,item12,coffeetable,sidetable,wardrobe,0.213220581629513,0.213220581629513,0.213220581629513
basic,item12,convertible,ambulance,sedan,0.312749361173817,0.312749361173817,0.312749361173817
basic,item12,convertible,firetruck,sedan,0.312749361173817,0.312749361173817,0.312749361173817
basic,item12,convertible,motorcycle,sedan,0.312749361173817,0.312749361173817,0.312749361173817
basic,item12,convertible,sedan,train,0.312749361173817,0.312749361173817,0.312749361173817
basic,item12,daisy,grasses,lily,0.121544820684968,0.121544820684968,0.121544820684968
basic,item12,daisy,ivy,lily,0.121544820684968,0.121544820684968,0.121544820684968
basic,item12,daisy,lily,pottedplant,0.121544820684968,0.121544820684968,0.121544820684968
basic,item12,daisy,lily,rosemary,0.121544820684968,0.121544820684968,0.121544820684968
basic,item12,dalmatian,greyhound,horse,0.250231528874902,0.250231528874902,0.250231528874902
basic,item12,dalmatian,greyhound,squirrel,0.250231528874902,0.250231528874902,0.250231528874902
basic,item12,diningtable,bed,sidetable,0.285564160200704,0.285564160200704,0.285564160200704
basic,item12,diningtable,bookcase,sidetable,0.285564160200704,0.285564160200704,0.285564160200704
basic,item12,eagle,bison,sparrow,0.139369600498193,0.139369600498193,0.139369600498193
basic,item12,eagle,cow,sparrow,0.139369600498193,0.139369600498193,0.139369600498193
basic,item12,eagle,elephant,sparrow,0.139369600498193,0.139369600498193,0.139369600498193
basic,item12,eagle,snake,sparrow,0.139369600498193,0.139369600498193,0.139369600498193
basic,item12,germanshepherd,crocodile,greyhound,0.359607413207647,0.359607413207647,0.359607413207647
basic,item12,germanshepherd,greyhound,horse,0.359607413207647,0.359607413207647,0.359607413207647
basic,item12,germanshepherd,greyhound,kitten,0.359607413207647,0.359607413207647,0.359607413207647
basic,item12,germanshepherd,greyhound,lion,0.359607413207647,0.359607413207647,0.359607413207647
basic,item12,germanshepherd,greyhound,pig,0.359607413207647,0.359607413207647,0.359607413207647
basic,item12,germanshepherd,greyhound,sheep,0.359607413207647,0.359607413207647,0.359607413207647
basic,item12,goldfish,bison,discusfish,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,cow,discusfish,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,discusfish,horse,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,discusfish,kitten,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,discusfish,rhino,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,discusfish,sheep,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,discusfish,snake,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,goldfish,discusfish,squirrel,0.206654068617588,0.206654068617588,0.206654068617588
basic,item12,grizzlybear,cow,koalabear,0.225502466492857,0.225502466492857,0.225502466492857
basic,item12,grizzlybear,koalabear,snake,0.225502466492857,0.225502466492857,0.225502466492857
