gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,TypeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,TRUEheMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
3276-c,1.4489E+12,1,colorSizeTrial,colorOnly4Distr2Same,small_red_yarn,distractor,4,2,NA,NA,big_red_yarn,distractor,2,1,NA,NA,small_red_yarn,distractor,5,3,NA,NA,big_red_yarn,distractor,3,5,NA,NA,small_purple_yarn,target,1,4,NA,NA,1,1,0,purple,,1.4489E+12,purple,FALSE,TRUE,FALSE,,,,,,,,small_red_yarn,NA,NA,,,,
3276-c,1.4489E+12,2,subSuperTrial,distr22,moviecamera,distrClass2,4,4,NA,object,backpack,distrClass2,2,2,NA,object,wardrobe,target,3,3,furniture,object,blackStimulus,NA,5,5,NA,NA,blackStimulus,NA,1,1,NA,NA,1,1,0,place to hang clothes,,1.4489E+12,place to hang clothes,FALSE,FALSE,FALSE,TRUE,,,,,,,moviecamera,NA,NA,,,,
3276-c,1.4489E+12,3,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,crocodile,distrClass3,3,3,NA,animal,pancake,distrClass2,4,2,NA,food,lime,target,2,4,fruit,food,1,1,0,fruit,,1.4489E+12,fruit,FALSE,FALSE,FALSE,,,TRUE,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,4,colorSizeTrial,sizeOnly4Distr2Same,small_orange_cap,distractor,2,3,NA,NA,small_orange_cap,distractor,5,2,NA,NA,small_blue_cap,distractor,1,4,NA,NA,big_orange_cap,target,3,5,NA,NA,small_blue_cap,distractor,4,1,NA,NA,1,1,0,yellow and big,,1.4489E+12,yellow and big,TRUE,TRUE,FALSE,,,,,,,,small_orange_cap,NA,NA,,,,
3276-c,1.4489E+12,5,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,big_black_avocado,distractor,3,2,NA,NA,big_green_avocado,distractor,4,4,NA,NA,blackStimulus,NA,1,1,NA,NA,small_green_avocado,target,2,3,NA,NA,1,1,0,small and green,,1.4489E+12,small and green,TRUE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,6,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,pasta,distrClass3,4,4,NA,food,germanShepherd,target,3,2,dog,animal,blackStimulus,NA,5,5,NA,NA,baseball,distrClass3,2,3,NA,object,1,1,0,animal,,1.4489E+12,animal,FALSE,FALSE,FALSE,,,TRUE,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,7,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,postoffice,distrClass2,3,3,NA,place,blackStimulus,NA,5,5,NA,NA,temple,distrClass2,4,2,NA,place,trailer,target,2,4,house,place,1,1,0,rv,,1.4489E+12,rv,FALSE,FALSE,TRUE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,8,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,small_yellow_napkin,distractor,3,3,NA,NA,small_yellow_napkin,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,small_orange_napkin,target,2,2,NA,NA,1,1,0,darker color,,1.4489E+12,darker color,FALSE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,9,blackStimulus,undefined,blackStimulus,NA,5,5,NA,NA,bed,target,4,3,furniture,object,hospital,distrClass3,2,4,NA,place,blackStimulus,NA,1,1,NA,NA,horse,distrClass3,3,2,NA,animal,1,1,0,where you sleep,,1.4489E+12,where you sleep,FALSE,FALSE,FALSE,TRUE,,,,,,,blackStimulus,NA,NA,,,,
3276-c,1.4489E+12,10,blackStimulus,undefined,blackStimulus,NA,1,1,NA,NA,big_blue_toothbrush,distractor,3,2,NA,NA,small_blue_toothbrush,distractor,4,4,NA,NA,blackStimulus,NA,5,5,NA,NA,big_red_toothbrush,target,2,3,NA,NA,1,1,0,red,,1.4489E+12,red,FALSE,TRUE,FALSE,,,,,,,,blackStimulus,NA,NA,,,,
