gameid, time, roundNum, trialType, condition, nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, domainClickedObj, superdomainClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt1Domain, alt1superdomain, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs, alt2Domain, alt2superdomain, alt3Name, alt3TargetStatus, alt3SpLocs, alt3LisLocs, alt3Domain, alt3superdomain, alt4Name, alt4TargetStatus, alt4SpLocs, alt4LisLocs, alt4Domain, alt4superdomain,numMessages,numSMessages,numLMessages,speakerMessages,listenerMessages,messageTimeStamps,refExp,sizeMentioned,colorMentioned,typeMentioned,otherFeatureMentioned,superClassMentioned,superSuperClassMentioned,superclassattributeMentioned,utteranceContracted,oneMentioned,theMentioned,clickedType,clickedSize,clickedColor,colorPreNominal,sizePreNominal,,notes
8102-e,1.44899E+12,13,subSuperTrial,distr33,rose,target,3,2,flower,plant,blackStimulus,NA,5,5,NA,NA,backpack,distrClass3,2,3,NA,object,blackStimulus,NA,1,1,NA,NA,basketball,distrClass3,4,4,NA,object,1,1,0,rose,,1.44899E+12,rose,FALSE,FALSE,TRUE,,,,,,,,rose,NA,NA,,,,
8102-e,1.44899E+12,14,subSuperTrial,distr12,clarinet,target,3,2,instrument,object,blackStimulus,NA,5,5,NA,NA,violin,distrClass1,4,3,instrument,object,baseballmitt,distrClass2,2,4,NA,object,blackStimulus,NA,1,1,NA,NA,1,1,0,claranet,,1.44899E+12,claranet,FALSE,FALSE,TRUE,,,,,,,,clarinet,NA,NA,,,,
8102-e,1.44899E+12,15,colorSizeTrial,colorOnly4Distr3Same,small_red_flower,target,2,4,NA,NA,big_purple_flower,distractor,5,5,NA,NA,small_purple_flower,distractor,3,1,NA,NA,small_purple_flower,distractor,4,2,NA,NA,small_purple_flower,distractor,1,3,NA,NA,1,1,0,red,,1.44899E+12,red,FALSE,TRUE,FALSE,,,,,,,,small_red_flower,NA,NA,,,,
8102-e,1.44899E+12,16,subSuperTrial,distr12,mushroom,target,3,2,vegetable,food,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,peas,distrClass1,2,3,vegetable,food,muffin,distrClass2,4,4,NA,food,1,1,0,mushroom,,1.44899E+12,mushroom,FALSE,FALSE,TRUE,,,,,,,,mushroom,NA,NA,,,,
8102-e,1.44899E+12,17,colorSizeTrial,sizeOnly4Distr4Same,small_blue_cap,target,2,2,NA,NA,big_blue_cap,distractor,3,3,NA,NA,big_blue_cap,distractor,4,1,NA,NA,big_blue_cap,distractor,1,5,NA,NA,big_blue_cap,distractor,5,4,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_blue_cap,NA,NA,,,,
8102-e,1.44899E+12,18,subSuperTrial,distr22,saxophone,target,4,3,instrument,object,blackStimulus,NA,1,1,NA,NA,basketball,distrClass2,2,4,NA,object,trafficcone,distrClass2,3,2,NA,object,blackStimulus,NA,5,5,NA,NA,1,1,0,sax,,1.44899E+12,sax,FALSE,FALSE,TRUE,,,,,TRUE,,,saxophone,NA,NA,,,,
8102-e,1.44899E+12,19,subSuperTrial,distr23,kiwi,target,2,4,fruit,food,blackStimulus,NA,5,5,NA,NA,penguin,distrClass3,3,3,NA,animal,blackStimulus,NA,1,1,NA,NA,rice,distrClass2,4,2,NA,food,1,1,0,kiwi,,1.44899E+12,kiwi,FALSE,FALSE,TRUE,,,,,,,,kiwi,NA,NA,,,,
8102-e,1.44899E+12,20,subSuperTrial,distr22,bike2,target,2,2,vehicle,object,blackStimulus,NA,1,1,NA,NA,blackStimulus,NA,5,5,NA,NA,eraser,distrClass2,3,3,NA,object,baseball,distrClass2,4,4,NA,object,1,1,0,bike,,1.44899E+12,bike,FALSE,FALSE,TRUE,,,,,,,,bike2,NA,NA,,,,
8102-e,1.44899E+12,21,colorSizeTrial,sizeOnly4Distr1Same,small_purple_hairdryer,target,1,1,NA,NA,big_pink_hairdryer,distractor,2,3,NA,NA,big_pink_hairdryer,distractor,5,5,NA,NA,big_purple_hairdryer,distractor,4,2,NA,NA,big_pink_hairdryer,distractor,3,4,NA,NA,1,1,0,small,,1.44899E+12,small,TRUE,FALSE,FALSE,,,,,,,,small_purple_hairdryer,NA,NA,,,,
8102-e,1.44899E+12,22,colorSizeTrial,colorOnly4Distr2Same,big_black_turtle,target,2,1,NA,NA,big_brown_turtle,distractor,3,4,NA,NA,small_brown_turtle,distractor,5,5,NA,NA,big_brown_turtle,distractor,4,3,NA,NA,small_brown_turtle,distractor,1,2,NA,NA,1,1,0,black,,1.44899E+12,black,FALSE,TRUE,FALSE,,,,,,,,big_black_turtle,NA,NA,,,,
