noun,SUM_match_frequency,relFreq,SUM_total_counts
ambulance,1435951,4.22884E-06,3.39562E+11
animal,39951249,0.000117655,3.39562E+11
banjo,308298,9.0793E-07,3.39562E+11
bathrobe,175906,5.18039E-07,3.39562E+11
bed,27368589,8.05998E-05,3.39562E+11
belt,6762531,1.99155E-05,3.39562E+11
bike,1955660,5.75937E-06,3.39562E+11
boat,17200734,5.06557E-05,3.39562E+11
bookcase,377645,1.11215E-06,3.39562E+11
bra,699280,2.05936E-06,3.39562E+11
building,49798143,0.000146654,3.39562E+11
carrot,1612570,4.74898E-06,3.39562E+11
clarinet,520697,1.53344E-06,3.39562E+11
clothing,7987510,2.3523E-05,3.39562E+11
corn,6466798,1.90446E-05,3.39562E+11
cottage,4047918,1.1921E-05,3.39562E+11
daisy,1142904,3.36582E-06,3.39562E+11
dalmatian,49602,1.46077E-07,3.39562E+11
dog,21789518,6.41696E-05,3.39562E+11
eggplant,326762,9.62306E-07,3.39562E+11
firetruck,93467,2.75258E-07,3.39562E+11
flower,16497919,4.85859E-05,3.39562E+11
food,53418448,0.000157316,3.39562E+11
fruit,11516926,3.39171E-05,3.39562E+11
furniture,6098822,1.79609E-05,3.39562E+11
German Shepherd,97790,2.87989E-07,3.39562E+11
grapefruit,287966,8.48052E-07,3.39562E+11
house,117150392,0.000345005,3.39562E+11
husky,76741,2.26E-07,3.39562E+11
igloo,94699,2.78886E-07,3.39562E+11
instrument,24094550,7.09578E-05,3.39562E+11
kiwi,122610,3.61083E-07,3.39562E+11
lamp,6097847,1.7958E-05,3.39562E+11
lime,2403505,7.07826E-06,3.39562E+11
mushroom,1572419,4.63073E-06,3.39562E+11
object,61994409,0.000182572,3.39562E+11
piano,5261738,1.54957E-05,3.39562E+11
pineapple,698819,2.058E-06,3.39562E+11
plant,52852109,0.000155648,3.39562E+11
pug,121280,3.57166E-07,3.39562E+11
rose,8595412,2.53133E-05,3.39562E+11
saxophone,442317,1.30261E-06,3.39562E+11
sunflower,583171,1.71742E-06,3.39562E+11
swimsuit,109942,3.23776E-07,3.39562E+11
tent,4812908,1.41739E-05,3.39562E+11
trailer,1634179,4.81262E-06,3.39562E+11
tulip,385498,1.13528E-06,3.39562E+11
vegetable,8260621,2.43273E-05,3.39562E+11
vehicle,15734124,4.63366E-05,3.39562E+11
wardrobe,873743,2.57315E-06,3.39562E+11
