gameid, time, roundNum, trialType, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
0896-2,1478927429999,1,pear,overinformative-cc,apple_green,distractor,3,4,cup_yellow,distractor,4,3,pear_yellow,target,2,2
0896-2,1478927459556,2,pear,informative,avocado_red,distractor,4,3,pear_yellow,target,2,2,pear_green,distractor,3,4
