gameid, time, roundNum, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
2254-5,1478931615073,1,informative,banana_yellow,distractor,4,2,apple_green,distractor,3,undefined,apple_red,target,2,3
2254-5,1478931625258,2,overinformative,banana_blue,distractor,2,4,pear_green,distractor,4,undefined,apple_red,target,3,3
