gameid, time, roundNum, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
8755-a,1478931492638,1,informative,tomato_pink,target,4,3,avocado_green,distractor,2,undefined,tomato_green,distractor,3,2
8755-a,1478931503177,2,informative,apple_blue,distractor,2,3,pear_yellow,distractor,3,undefined,pear_green,target,4,4
