gameid, time, roundNum, context,nameClickedObj, targetStatusClickedObj, spLocsClickedObj, lisLocsClickedObj, alt1Name, alt1TargetStatus, alt1SpLocs, alt1LisLocs, alt2Name, alt2TargetStatus, alt2SpLocs, alt2LisLocs
3633-9,1478930891792,1,overinformative,avocado_black,target,3,3,banana_blue,distractor,4,undefined,apple_red,distractor,2,2
3633-9,1478930939290,2,overinformative-cc,cup_green,distractor,2,4,pear_green,target,4,undefined,avocado_black,distractor,3,3
