Object,Typicality,Utterance,Modification,CI.low,CI.high
blue_butterfly,0.628333333333333,butterfly,unmodified,0.504444444444444,0.744513888888889
purple_butterfly,0.690555555555556,purple_butterfly,modified,0.556652777777778,0.817847222222222
purple_butterfly,0.717,butterfly,unmodified,0.517975,0.889025
blue_candle,0.760555555555556,blue_candle,modified,0.652180555555556,0.857222222222222
blue_candle,0.608,candle,unmodified,0.406,0.774
red_candle,0.8232,red_candle,modified,0.76359,0.87921
red_candle,0.853333333333333,candle,unmodified,0.779125,0.9191875
blue_cap,0.664,blue_cap,modified,0.511975,0.800025
blue_cap,0.546666666666667,cap,unmodified,0.349958333333333,0.75
orange_cap,0.658064516129032,orange_cap,modified,0.556064516129032,0.756774193548387
orange_cap,0.636153846153846,cap,unmodified,0.509211538461539,0.758461538461538
green_chair,0.703333333333333,green_chair,modified,0.58265,0.8087
green_chair,0.409166666666667,chair,unmodified,0.289979166666667,0.531708333333333
red_chair,0.692777777777778,red_chair,modified,0.596083333333333,0.804458333333333
red_chair,0.678,chair,unmodified,0.566,0.783333333333333
orange_coathanger,0.479473684210526,orange_coathanger,modified,0.354210526315789,0.607447368421053
orange_coathanger,0.3,coathanger,unmodified,0.165714285714286,0.442857142857143
purple_coathanger,0.574166666666667,purple_coathanger,modified,0.446614583333333,0.69625
purple_coathanger,0.407,coathanger,unmodified,0.21295,0.607
black_comb,0.968666666666667,black_comb,modified,0.933316666666667,0.992666666666667
black_comb,0.913333333333333,comb,unmodified,0.865527777777778,0.958916666666667
blue_comb,0.7292,blue_comb,modified,0.63559,0.81961
blue_comb,0.762727272727273,comb,unmodified,0.632727272727273,0.876409090909091
blue_cushion,0.8225,blue_cushion,modified,0.758196428571429,0.886089285714286
blue_cushion,0.699230769230769,cushion,unmodified,0.56075,0.836173076923077
orange_cushion,0.767272727272727,orange_cushion,modified,0.717272727272727,0.809113636363636
orange_cushion,0.67875,cushion,unmodified,0.55625,0.802625
purple_flower,0.788947368421053,purple_flower,modified,0.702052631578947,0.865789473684211
purple_flower,0.750714285714286,flower,unmodified,0.655696428571429,0.847160714285714
red_flower,0.832857142857143,red_flower,modified,0.748095238095238,0.90952380952381
red_flower,0.828333333333333,flower,unmodified,0.696541666666667,0.948333333333333
green_framee,0.663809523809524,green_framee,modified,0.558095238095238,0.752880952380952
green_framee,0.455555555555556,framee,unmodified,0.281083333333333,0.657777777777778
pink_framee,0.647272727272727,pink_framee,modified,0.541806818181818,0.760943181818182
pink_framee,0.4475,framee,unmodified,0.31240625,0.6125
blue_golfball,0.828235294117647,blue_golfball,modified,0.723529411764706,0.920602941176471
blue_golfball,0.941,golfball,unmodified,0.885975,0.983
pink_golfball,0.799444444444444,pink_golfball,modified,0.721069444444444,0.869458333333333
pink_golfball,0.390666666666667,golfball,unmodified,0.302666666666667,0.491366666666667
blue_guitar,0.75,blue_guitar,modified,0.663485294117647,0.845323529411765
blue_guitar,0.622352941176471,guitar,unmodified,0.509367647058824,0.740602941176471
green_guitar,0.7665,green_guitar,modified,0.6564625,0.868
green_guitar,0.628333333333333,guitar,unmodified,0.39,0.816666666666667
pink_hairdryer,0.497058823529412,pink_hairdryer,modified,0.369970588235294,0.634720588235294
pink_hairdryer,0.589444444444444,hairdryer,unmodified,0.45275,0.730055555555555
purple_hairdryer,0.688823529411765,purple_hairdryer,modified,0.575882352941177,0.797661764705882
purple_hairdryer,0.47625,hairdryer,unmodified,0.2511875,0.70625
brown_jacket,0.667142857142857,brown_jacket,modified,0.570464285714286,0.759547619047619
brown_jacket,0.571,jacket,unmodified,0.41995,0.723075
green_jacket,0.663181818181818,green_jacket,modified,0.585443181818182,0.737761363636364
green_jacket,0.64,jacket,unmodified,0.389857142857143,0.868571428571429
orange_napkin,0.705384615384615,orange_napkin,modified,0.561519230769231,0.847711538461538
orange_napkin,0.72125,napkin,unmodified,0.631234375,0.801875
yellow_napkin,0.786666666666667,yellow_napkin,modified,0.704285714285714,0.856690476190476
yellow_napkin,0.622,napkin,unmodified,0.462925,0.775
blue_ornament,0.881428571428571,blue_ornament,modified,0.806392857142857,0.946464285714286
blue_ornament,0.909,ornament,unmodified,0.846,0.959025
purple_ornament,0.797083333333333,purple_ornament,modified,0.700833333333333,0.882916666666667
purple_ornament,0.81,ornament,unmodified,0.689166666666667,0.925041666666667
green_pepper,0.8,green_pepper,modified,0.653263888888889,0.919444444444444
green_pepper,0.8875,pepper,unmodified,0.811645833333333,0.941666666666667
red_pepper,0.88875,red_pepper,modified,0.818125,0.950640625
red_pepper,0.847857142857143,pepper,unmodified,0.759982142857143,0.922892857142857
pink_phone,0.504444444444444,pink_phone,modified,0.379990740740741,0.628185185185185
pink_phone,0.341428571428571,phone,unmodified,0.207107142857143,0.510107142857143
white_phone,0.516111111111111,white_phone,modified,0.420513888888889,0.613347222222222
white_phone,0.33875,phone,unmodified,0.185,0.51634375
green_rock,0.300454545454545,green_rock,modified,0.195875,0.408227272727273
green_rock,0.16,rock,unmodified,0.035,0.285
purple_rock,0.412592592592593,purple_rock,modified,0.301851851851852,0.535222222222222
purple_rock,0.27,rock,unmodified,0.114285714285714,0.448607142857143
blue_rug,0.72,blue_rug,modified,0.642895833333333,0.79709375
blue_rug,0.665454545454546,rug,unmodified,0.550886363636364,0.779136363636364
purple_rug,0.817222222222222,purple_rug,modified,0.720541666666667,0.901125
purple_rug,0.577142857142857,rug,unmodified,0.33,0.808642857142857
white_shoe,0.688947368421053,white_shoe,modified,0.581026315789474,0.788986842105263
white_shoe,0.67125,shoe,unmodified,0.54496875,0.80128125
yellow_shoe,0.65,yellow_shoe,modified,0.557119047619048,0.744297619047619
yellow_shoe,0.486666666666667,shoe,unmodified,0.344104166666667,0.627604166666667
purple_stapler,0.772727272727273,purple_stapler,modified,0.6745,0.859125
purple_stapler,0.702222222222222,stapler,unmodified,0.542222222222222,0.860055555555555
red_stapler,0.8605,red_stapler,modified,0.7745,0.9360125
red_stapler,0.594444444444444,stapler,unmodified,0.466638888888889,0.724444444444444
blue_tack,0.794,blue_tack,modified,0.7175,0.862
blue_tack,0.875714285714286,tack,unmodified,0.79425,0.954285714285714
red_tack,0.88,red_tack,modified,0.808095238095238,0.939535714285714
red_tack,0.835,tack,unmodified,0.765833333333333,0.905
pink_teacup,0.581111111111111,pink_teacup,modified,0.408180555555556,0.738375
pink_teacup,0.59,teacup,unmodified,0.450886363636364,0.72275
white_teacup,0.870952380952381,white_teacup,modified,0.7995,0.928583333333333
white_teacup,0.912,teacup,unmodified,0.830925,0.979025
blue_toothbrush,0.848888888888889,blue_toothbrush,modified,0.773703703703704,0.907046296296296
blue_toothbrush,0.801428571428571,toothbrush,unmodified,0.64125,0.931428571428571
red_toothbrush,0.698947368421053,red_toothbrush,modified,0.607342105263158,0.792118421052632
red_toothbrush,0.617142857142857,toothbrush,unmodified,0.422857142857143,0.828571428571429
black_turtle,0.664117647058823,black_turtle,modified,0.504676470588235,0.807102941176471
black_turtle,0.539,turtle,unmodified,0.34495,0.732075
brown_turtle,0.826363636363636,brown_turtle,modified,0.760443181818182,0.888636363636364
brown_turtle,0.807272727272727,turtle,unmodified,0.717227272727273,0.899113636363636
pink_weddingcake,0.760666666666667,pink_weddingcake,modified,0.6613,0.858033333333333
pink_weddingcake,0.443333333333333,weddingcake,unmodified,0.291,0.575583333333333
white_weddingcake,0.781739130434783,white_weddingcake,modified,0.683032608695652,0.867858695652174
white_weddingcake,0.745384615384615,weddingcake,unmodified,0.606134615384615,0.864653846153846
purple_yarn,0.86,purple_yarn,modified,0.789068181818182,0.921363636363636
purple_yarn,0.747,yarn,unmodified,0.641975,0.86205
red_yarn,0.906,red_yarn,modified,0.8534875,0.9490125
red_yarn,0.85,yarn,unmodified,0.75,0.94625
