Object,Typicality,Utterance,Modification,CI.low,CI.high
black_avocado,0.769565217391304,black_avocado,modified,0.659119565217391,0.866521739130435
black_avocado,0.909166666666667,avocado,unmodified,0.776625,0.983333333333333
green_avocado,0.903571428571429,green_avocado,modified,0.840714285714286,0.956446428571428
green_avocado,0.856363636363636,avocado,unmodified,0.763636363636364,0.937295454545454
pink_balloon,0.85258064516129,pink_balloon,modified,0.767096774193548,0.923225806451613
pink_balloon,0.851111111111111,balloon,unmodified,0.778888888888889,0.918916666666667
yellow_balloon,0.892727272727273,yellow_balloon,modified,0.823636363636364,0.951818181818182
yellow_balloon,0.813333333333333,balloon,unmodified,0.654416666666667,0.941111111111111
black_belt,0.877894736842105,black_belt,modified,0.82,0.928947368421053
black_belt,0.928181818181818,belt,unmodified,0.874545454545455,0.977272727272727
brown_belt,0.81625,brown_belt,modified,0.759375,0.874375
brown_belt,0.782142857142857,belt,unmodified,0.691392857142857,0.865
purple_bike,0.701666666666667,purple_bike,modified,0.570527777777778,0.822833333333333
purple_bike,0.625,bike,unmodified,0.485714285714286,0.777178571428571
red_bike,0.814736842105263,red_bike,modified,0.757894736842105,0.873684210526316
red_bike,0.76,bike,unmodified,0.595416666666667,0.914472222222222
orange_billiardball,0.8408,orange_billiardball,modified,0.76397,0.90601
orange_billiardball,0.798888888888889,billiardball,unmodified,0.693305555555556,0.897777777777778
purple_billiardball,0.860588235294118,purple_billiardball,modified,0.763470588235294,0.940602941176471
purple_billiardball,0.641111111111111,billiardball,unmodified,0.436638888888889,0.79
blue_binder,0.673529411764706,blue_binder,modified,0.577617647058824,0.770014705882353
blue_binder,0.642222222222222,binder,unmodified,0.492138888888889,0.782222222222222
green_binder,0.676153846153846,green_binder,modified,0.572298076923077,0.764259615384615
green_binder,0.5825,binder,unmodified,0.43875,0.73128125
black_book,0.85304347826087,black_book,modified,0.779130434782609,0.913510869565217
black_book,0.709230769230769,book,unmodified,0.571538461538462,0.83
blue_book,0.775,blue_book,modified,0.696975,0.85605
blue_book,0.757857142857143,book,unmodified,0.636410714285714,0.864285714285714
green_bracelet,0.718947368421053,green_bracelet,modified,0.629960526315789,0.802631578947368
green_bracelet,0.67,bracelet,unmodified,0.534416666666667,0.806666666666667
purple_bracelet,0.7465,purple_bracelet,modified,0.667,0.820525
purple_bracelet,0.644166666666667,bracelet,unmodified,0.485,0.798354166666667
pink_bucket,0.735357142857143,pink_bucket,modified,0.639633928571429,0.816794642857143
pink_bucket,0.5025,bucket,unmodified,0.359166666666667,0.644166666666667
red_bucket,0.913076923076923,red_bucket,modified,0.824596153846154,0.985403846153846
red_bucket,0.741428571428571,bucket,unmodified,0.567142857142857,0.891428571428571
blue_butterfly,0.752857142857143,blue_butterfly,modified,0.607053571428571,0.853625
