Item	Color	Modification	Typicality	CI.low	CI.high
avocado	black	modified	0.769565217391304	0.657391304347826	0.860032608695652
avocado	black	unmodified	0.909166666666667	0.777479166666667	0.983354166666667
avocado	green	modified	0.903571428571429	0.837839285714286	0.953571428571429
avocado	green	unmodified	0.856363636363636	0.752727272727273	0.935454545454545
balloon	pink	modified	0.85258064516129	0.76966935483871	0.92
balloon	pink	unmodified	0.851111111111111	0.777777777777778	0.917777777777778
balloon	yellow	modified	0.892727272727273	0.821795454545454	0.948181818181818
balloon	yellow	unmodified	0.813333333333333	0.654444444444444	0.946666666666667
belt	black	modified	0.877894736842105	0.824736842105263	0.93
belt	black	unmodified	0.928181818181818	0.869068181818182	0.976363636363636
belt	brown	modified	0.81625	0.757484375	0.8775
belt	brown	unmodified	0.782142857142857	0.689267857142857	0.876482142857143
bike	purple	modified	0.701666666666667	0.578305555555556	0.821708333333333
bike	purple	unmodified	0.625	0.469964285714286	0.780017857142857
bike	red	modified	0.814736842105263	0.753144736842105	0.868434210526316
bike	red	unmodified	0.76	0.609944444444445	0.917805555555556
billiardball	orange	modified	0.8408	0.75476	0.9052
billiardball	orange	unmodified	0.798888888888889	0.682222222222222	0.902222222222222
billiardball	purple	modified	0.860588235294118	0.761720588235294	0.938323529411765
billiardball	purple	unmodified	0.641111111111111	0.447666666666667	0.797805555555556
binder	blue	modified	0.673529411764706	0.57939705882353	0.775294117647059
binder	blue	unmodified	0.642222222222222	0.488805555555556	0.785555555555556
binder	green	modified	0.676153846153846	0.586134615384615	0.764625
binder	green	unmodified	0.5825	0.43621875	0.74628125
book	black	modified	0.85304347826087	0.77954347826087	0.918271739130435
book	black	unmodified	0.709230769230769	0.573019230769231	0.825384615384615
book	blue	modified	0.775	0.694	0.858025
book	blue	unmodified	0.757857142857143	0.633535714285714	0.867160714285714
bracelet	green	modified	0.718947368421053	0.632105263157895	0.801105263157895
bracelet	green	unmodified	0.67	0.537722222222222	0.8045
bracelet	purple	modified	0.7465	0.6669875	0.8215125
bracelet	purple	unmodified	0.644166666666667	0.488333333333333	0.804229166666667
bucket	pink	modified	0.735357142857143	0.644946428571429	0.816464285714286
bucket	pink	unmodified	0.5025	0.3633125	0.6466875
bucket	red	modified	0.913076923076923	0.8115	0.986923076923077
bucket	red	unmodified	0.741428571428571	0.564285714285714	0.88575
butterfly	blue	modified	0.752857142857143	0.613553571428571	0.871446428571429
butterfly	blue	unmodified	0.628333333333333	0.505541666666667	0.748916666666667
butterfly	purple	modified	0.690555555555556	0.565513888888889	0.809444444444444
butterfly	purple	unmodified	0.717	0.50195	0.88505
candle	blue	modified	0.760555555555556	0.656097222222222	0.863902777777778
candle	blue	unmodified	0.608	0.444	0.774
candle	red	modified	0.8232	0.7632	0.8808
candle	red	unmodified	0.853333333333333	0.779145833333333	0.922520833333333
cap	blue	modified	0.664	0.519975	0.799
cap	blue	unmodified	0.546666666666667	0.341666666666667	0.753333333333333
cap	orange	modified	0.658064516129032	0.553846774193548	0.754532258064516
cap	orange	unmodified	0.636153846153846	0.521480769230769	0.758480769230769
chair	green	modified	0.703333333333333	0.585983333333333	0.812
chair	green	unmodified	0.409166666666667	0.2883125	0.533354166666667
chair	red	modified	0.692777777777778	0.584430555555556	0.794458333333333
chair	red	unmodified	0.678	0.57465	0.78535
coathanger	orange	modified	0.479473684210526	0.358394736842105	0.604223684210526
coathanger	orange	unmodified	0.3	0.162857142857143	0.434357142857143
coathanger	purple	modified	0.574166666666667	0.449135416666667	0.689177083333333
coathanger	purple	unmodified	0.407	0.220975	0.611
comb	black	modified	0.968666666666667	0.932666666666667	0.990666666666667
comb	black	unmodified	0.913333333333333	0.866638888888889	0.957805555555555
comb	blue	modified	0.7292	0.6236	0.82203
comb	blue	unmodified	0.762727272727273	0.633636363636364	0.88275
cushion	blue	modified	0.8225	0.753910714285714	0.886080357142857
cushion	blue	unmodified	0.699230769230769	0.563057692307692	0.838480769230769
cushion	orange	modified	0.767272727272727	0.718159090909091	0.809090909090909
cushion	orange	unmodified	0.67875	0.5575	0.8075625
flower	purple	modified	0.788947368421053	0.701552631578947	0.861592105263158
flower	purple	unmodified	0.750714285714286	0.6535	0.839285714285714
flower	red	modified	0.832857142857143	0.756178571428571	0.900964285714286
flower	red	unmodified	0.828333333333333	0.696666666666667	0.953333333333333
framee	green	modified	0.663809523809524	0.57	0.758095238095238
framee	green	unmodified	0.455555555555556	0.286666666666667	0.668888888888889
framee	pink	modified	0.647272727272727	0.544090909090909	0.744556818181818
framee	pink	unmodified	0.4475	0.30121875	0.6063125
golfball	blue	modified	0.828235294117647	0.729970588235294	0.912352941176471
golfball	blue	unmodified	0.941	0.88495	0.982025
golfball	pink	modified	0.799444444444444	0.717208333333333	0.87
golfball	pink	unmodified	0.390666666666667	0.29865	0.489383333333333
guitar	blue	modified	0.75	0.653470588235294	0.837147058823529
guitar	blue	unmodified	0.622352941176471	0.501147058823529	0.736529411764706
guitar	green	modified	0.7665	0.6524875	0.86255
guitar	green	unmodified	0.628333333333333	0.39	0.825083333333333
hairdryer	pink	modified	0.497058823529412	0.371735294117647	0.622352941176471
hairdryer	pink	unmodified	0.589444444444444	0.447763888888889	0.714444444444444
hairdryer	purple	modified	0.688823529411765	0.569970588235294	0.802367647058824
hairdryer	purple	unmodified	0.47625	0.2475	0.71253125
jacket	brown	modified	0.667142857142857	0.57475	0.765726190476191
jacket	brown	unmodified	0.571	0.407	0.708025
jacket	green	modified	0.663181818181818	0.590897727272727	0.743636363636364
jacket	green	unmodified	0.64	0.357142857142857	0.864285714285714
napkin	orange	modified	0.705384615384615	0.553038461538462	0.832326923076923
napkin	orange	unmodified	0.72125	0.63375	0.811875
napkin	yellow	modified	0.786666666666667	0.70902380952381	0.857642857142857
napkin	yellow	unmodified	0.622	0.433975	0.778025
ornament	blue	modified	0.881428571428571	0.802785714285714	0.94575
ornament	blue	unmodified	0.909	0.852	0.962
ornament	purple	modified	0.797083333333333	0.7	0.88375
ornament	purple	unmodified	0.81	0.683291666666667	0.925875
pepper	green	modified	0.8	0.644416666666667	0.919458333333333
pepper	green	unmodified	0.8875	0.809166666666667	0.9375
pepper	red	modified	0.88875	0.823734375	0.948765625
pepper	red	unmodified	0.847857142857143	0.760678571428571	0.924285714285714
phone	pink	modified	0.504444444444444	0.37812962962963	0.628546296296296
phone	pink	unmodified	0.341428571428571	0.207107142857143	0.495714285714286
phone	white	modified	0.516111111111111	0.407777777777778	0.62
phone	white	unmodified	0.33875	0.20746875	0.5075
rock	green	modified	0.300454545454545	0.200875	0.419113636363636
rock	green	unmodified	0.16	0.035	0.285
rock	purple	modified	0.412592592592593	0.29887962962963	0.532972222222222
rock	purple	unmodified	0.27	0.125678571428571	0.444357142857143
rug	blue	modified	0.72	0.631666666666667	0.792927083333333
rug	blue	unmodified	0.665454545454546	0.549022727272727	0.767272727272727
rug	purple	modified	0.817222222222222	0.723319444444444	0.90225
rug	purple	unmodified	0.577142857142857	0.356964285714286	0.794285714285714
shoe	white	modified	0.688947368421053	0.577315789473684	0.782644736842105
