Object,rescaledTypicality,Utterance
black_avocado,0.884243343444557,black_avocado
black_avocado,0.965406976744186,avocado
green_avocado,0.962153931339978,green_avocado
green_avocado,0.934707540521494,avocado
pink_balloon,0.932508127031758,pink_balloon
pink_balloon,0.931653746770026,balloon
yellow_balloon,0.95584918957012,yellow_balloon
yellow_balloon,0.90968992248062,balloon
black_belt,0.947225622195022,black_belt
black_belt,0.97646229739253,belt
brown_belt,0.911385658914729,brown_belt
brown_belt,0.89155592469546,belt
purple_bike,0.844767441860465,purple_bike
purple_bike,0.800193798449612,bike
red_bike,0.910505915952672,red_bike
red_bike,0.878682170542636,bike
orange_billiardball,0.925658914728682,orange_billiardball
orange_billiardball,0.901291989664083,billiardball
purple_billiardball,0.937163702690379,purple_billiardball
purple_billiardball,0.809560723514212,billiardball
blue_binder,0.828408572731418,blue_binder
blue_binder,0.810206718346253,binder
green_binder,0.829934406678593,green_binder
green_binder,0.775484496124031,binder
black_book,0.932777216043141,black_book
black_book,0.849165175909362,book
blue_book,0.887403100775194,blue_book
blue_book,0.877436323366556,book
green_bracelet,0.854814361485108,green_bracelet
green_bracelet,0.826356589147287,bracelet
purple_bracelet,0.870833333333333,purple_bracelet
purple_bracelet,0.811337209302325,bracelet
pink_bucket,0.864354928017719,pink_bucket
pink_bucket,0.728972868217054,bucket
red_bucket,0.96768038163387,red_bucket
red_bucket,0.867884828349945,bucket
blue_butterfly,0.87452934662237,blue_butterfly
blue_butterfly,0.802131782945736,butterfly
purple_butterfly,0.838307493540052,purple_butterfly
purple_butterfly,0.853682170542636,butterfly
blue_candle,0.879005167958656,blue_candle
blue_candle,0.79031007751938,candle
red_candle,0.915426356589147,red_candle
red_candle,0.932945736434108,candle
blue_cap,0.822868217054263,blue_cap
blue_cap,0.754651162790698,cap
orange_cap,0.819417354338585,orange_cap
orange_cap,0.806678592725104,cap
green_chair,0.845736434108527,green_chair
green_chair,0.674709302325581,chair
red_chair,0.839599483204134,red_chair
red_chair,0.831007751937984,chair
orange_coathanger,0.715585475316197,orange_coathanger
orange_coathanger,0.611240310077519,coathanger
purple_coathanger,0.770639534883721,purple_coathanger
purple_coathanger,0.673449612403101,coathanger
black_comb,1,black_comb
black_comb,0.967829457364341,comb
blue_comb,0.86077519379845,blue_comb
blue_comb,0.880267794221283,comb
blue_cushion,0.915019379844961,blue_cushion
blue_cushion,0.84335122242099,cushion
orange_cushion,0.882910500352361,orange_cushion
orange_cushion,0.831443798449612,cushion
purple_flower,0.895512035903713,purple_flower
purple_flower,0.87328349944629,flower
red_flower,0.921040974529347,red_flower
red_flower,0.918410852713178,flower
green_framee,0.822757475083056,green_framee
green_framee,0.701679586563307,framee
pink_framee,0.813143058491896,pink_framee
pink_framee,0.696996124031008,framee
blue_golfball,0.918353853169175,blue_golfball
blue_golfball,0.983914728682171,golfball
pink_golfball,0.901614987080103,pink_golfball
pink_golfball,0.663953488372093,golfball
blue_guitar,0.872868217054263,blue_guitar
blue_guitar,0.798654810761514,guitar
green_guitar,0.882461240310077,green_guitar
green_guitar,0.802131782945736,guitar
pink_hairdryer,0.725809393524852,pink_hairdryer
pink_hairdryer,0.779521963824289,hairdryer
purple_hairdryer,0.837300501595987,purple_hairdryer
purple_hairdryer,0.713711240310077,hairdryer
brown_jacket,0.82469545957918,brown_jacket
brown_jacket,0.768798449612403,jacket
green_jacket,0.822392529950669,green_jacket
green_jacket,0.808914728682171,jacket
orange_napkin,0.846929039952296,orange_napkin
orange_napkin,0.856153100775194,napkin
yellow_napkin,0.894186046511628,yellow_napkin
yellow_napkin,0.798449612403101,napkin
blue_ornament,0.949280177187154,blue_ornament
blue_ornament,0.96531007751938,ornament
purple_ornament,0.900242248062015,purple_ornament
purple_ornament,0.907751937984496,ornament
green_pepper,0.901937984496124,green_pepper
green_pepper,0.95281007751938,pepper
red_pepper,0.953536821705426,red_pepper
red_pepper,0.929761904761905,pepper
pink_phone,0.730103359173127,pink_phone
pink_phone,0.635326688815061,phone
white_phone,0.736886304909561,white_phone
white_phone,0.633769379844961,phone
green_rock,0.611504580690627,green_rock
green_rock,0.52984496124031,rock
purple_rock,0.676701119724375,purple_rock
purple_rock,0.593798449612403,rock
blue_rug,0.855426356589147,blue_rug
blue_rug,0.823713883016209,rug
purple_rug,0.911950904392765,purple_rug
purple_rug,0.772369878183832,rug
white_shoe,0.837372501019992,white_shoe
white_shoe,0.827083333333333,shoe
yellow_shoe,0.814728682170543,yellow_shoe
yellow_shoe,0.719767441860465,shoe
purple_stapler,0.886081747709655,purple_stapler
purple_stapler,0.845090439276486,stapler
red_stapler,0.937112403100775,red_stapler
red_stapler,0.782428940568475,stapler
blue_tack,0.898449612403101,blue_tack
blue_tack,0.945957918050941,tack
red_tack,0.948449612403101,red_tack
red_tack,0.922286821705426,tack
pink_teacup,0.774677002583979,pink_teacup
pink_teacup,0.77984496124031,teacup
white_teacup,0.943189368770764,white_teacup
white_teacup,0.967054263565891,teacup
blue_toothbrush,0.930361757105943,blue_toothbrush
blue_toothbrush,0.902768549280177,toothbrush
red_toothbrush,0.843186454508364,red_toothbrush
red_toothbrush,0.79562569213732,toothbrush
black_turtle,0.822936616507068,black_turtle
black_turtle,0.750193798449612,turtle
brown_turtle,0.917265680056378,brown_turtle
brown_turtle,0.906166314305849,turtle
pink_weddingcake,0.87906976744186,pink_weddingcake
pink_weddingcake,0.694573643410853,weddingcake
white_weddingcake,0.891321199865184,white_weddingcake
white_weddingcake,0.870184853905784,weddingcake
purple_yarn,0.936821705426357,purple_yarn
purple_yarn,0.871124031007752,yarn
red_yarn,0.963565891472868,red_yarn
red_yarn,0.931007751937984,yarn
