Item,Color,utterance,Combo,MeanTypicality,YMin,YMax
carrot,pink,fruit,pink carrot,0.051,0.00277777777777777,0.132236111111111
carrot,pink,pear,pink carrot,0.013,0.00333333333333333,0.0246833333333333
carrot,pink,pepper,pink carrot,0.049,0.0191304347826087,0.0808804347826087
carrot,pink,tomato,pink carrot,0.037,0.0148055555555556,0.0648240740740741
carrot,pink,vegetable,pink carrot,0.401,0.284596153846154,0.536173076923077
pear,green,apple,green pear,0.196,0.08839,0.31681
pear,green,avocado,green pear,0.055,0.0195652173913043,0.100434782608696
pear,green,banana,green pear,0.021,0.00789473684210526,0.0378947368421053
pear,green,carrot,green pear,0.085,0.00785714285714285,0.229285714285714
pear,green,fruit,green pear,0.937,0.898817307692308,0.971942307692308
pear,green,pear,green pear,0.953,0.921673728813559,0.975940677966102
pear,green,pepper,green pear,0.016,0.00461538461538461,0.0315384615384615
pear,green,tomato,green pear,0.018,0.00176470588235294,0.0441176470588235
pear,green,vegetable,green pear,0.115,0.0176730769230769,0.273865384615385
pear,orange,apple,orange pear,0.142,0.0716,0.23766
pear,orange,avocado,orange pear,0.055,0.0125,0.1104375
pear,orange,banana,orange pear,0.01,0.00133333333333333,0.0213333333333333
pear,orange,carrot,orange pear,0.052,0.0138461538461538,0.112326923076923
pear,orange,fruit,orange pear,0.777,0.691695652173913,0.859152173913043
pear,orange,pear,orange pear,0.686,0.621186440677966,0.75493220338983
pear,orange,pepper,orange pear,0.054,0.0124895833333333,0.105833333333333
pear,orange,tomato,orange pear,0.022,0.00690384615384616,0.0423076923076923
pear,orange,vegetable,orange pear,0.14,0.07,0.237777777777778
pear,yellow,apple,yellow pear,0.14,0.06199,0.23681
pear,yellow,avocado,yellow pear,0.026,0.00615384615384615,0.0530769230769231
pear,yellow,banana,yellow pear,0.071,0.0318425925925926,0.113731481481481
pear,yellow,carrot,yellow pear,0.016,0.006875,0.026265625
pear,yellow,fruit,yellow pear,0.905,0.84175,0.964117647058824
pear,yellow,pear,yellow pear,0.924,0.881860169491525,0.959161016949153
pear,yellow,pepper,yellow pear,0.142,0.015625,0.326875
pear,yellow,tomato,yellow pear,0.023,0.00533333333333333,0.044
pear,yellow,vegetable,yellow pear,0.12,0.0552065217391304,0.215282608695652
pepper,black,apple,black pepper,0.058,0.02065,0.103333333333333
pepper,black,avocado,black pepper,0.046,0.00533333333333334,0.0960166666666667
pepper,black,banana,black pepper,0.069,0.0253333333333333,0.122666666666667
pepper,black,carrot,black pepper,0.065,0.0173333333333333,0.122666666666667
pepper,black,fruit,black pepper,0.182,0.064,0.320016666666667
pepper,black,pear,black pepper,0.06,0.022,0.104
pepper,black,pepper,black pepper,0.637,0.493333333333333,0.788666666666667
pepper,black,tomato,black pepper,0.089,0.0206333333333333,0.189416666666667
pepper,black,vegetable,black pepper,0.531,0.333966666666667,0.709366666666667
pepper,green,apple,green pepper,0.03,0.00998529411764706,0.0547205882352941
pepper,green,avocado,green pepper,0.015,0.00363636363636364,0.0336363636363636
pepper,green,banana,green pepper,0.026,0.00466666666666667,0.0633333333333333
pepper,green,carrot,green pepper,0.019,0.00235294117647059,0.0494117647058823
pepper,green,fruit,green pepper,0.183,0.0492115384615385,0.347711538461538
pepper,green,pear,green pepper,0.02,0.0075,0.036265625
pepper,green,pepper,green pepper,0.941,0.904915254237288,0.971360169491525
pepper,green,tomato,green pepper,0.032,0.0118181818181818,0.0536363636363636
pepper,green,vegetable,green pepper,0.824,0.73371875,0.9225
pepper,orange,apple,orange pepper,0.043,0.0162962962962963,0.08
pepper,orange,avocado,orange pepper,0.045,0.0154166666666667,0.0775
pepper,orange,banana,orange pepper,0.011,0.00294117647058824,0.0235294117647059
pepper,orange,carrot,orange pepper,0.083,0.032962962962963,0.145935185185185
pepper,orange,fruit,orange pepper,0.194,0.08959,0.31923
pepper,orange,pear,orange pepper,0.04,0.01,0.0821428571428571
pepper,orange,pepper,orange pepper,0.841,0.782,0.889516949152542
pepper,orange,tomato,orange pepper,0.052,0.0253846153846154,0.0807884615384615
pepper,orange,vegetable,orange pepper,0.777,0.667018518518519,0.864842592592593
pepper,red,apple,red pepper,0.027,0.00928571428571429,0.0471428571428571
pepper,red,avocado,red pepper,0.068,0.0023076923076923,0.191538461538462
pepper,red,banana,red pepper,0.019,0.00315789473684211,0.0426315789473684
pepper,red,carrot,red pepper,0.036,0.0144351851851852,0.0640833333333333
pepper,red,fruit,red pepper,0.106,0.0266527777777778,0.196125
pepper,red,pear,red pepper,0.077,0.0188,0.168
pepper,red,pepper,red pepper,0.934,0.887453389830508,0.969665254237288
pepper,red,tomato,red pepper,0.018,0.00333333333333333,0.0441666666666667
pepper,red,vegetable,red pepper,0.777,0.638645833333333,0.88753125
tomato,green,apple,green tomato,0.102,0.0407692307692308,0.176567307692308
tomato,green,avocado,green tomato,0.017,0.00692307692307692,0.0284615384615385
tomato,green,banana,green tomato,0.096,0.024,0.19324
tomato,green,carrot,green tomato,0.013,0.00357142857142857,0.025
tomato,green,fruit,green tomato,0.341,0.187194444444444,0.490555555555556
tomato,green,pear,green tomato,0.045,0.0136,0.08561
tomato,green,pepper,green tomato,0.083,0.0166666666666667,0.186683333333333
tomato,green,tomato,green tomato,0.738,0.667283898305085,0.800512711864407
tomato,green,vegetable,green tomato,0.598,0.427089285714286,0.757875
tomato,pink,apple,pink tomato,0.022,0.00764705882352941,0.0388382352941176
tomato,pink,avocado,pink tomato,0.065,0.0208863636363636,0.119102272727273
tomato,pink,banana,pink tomato,0.037,0.0153846153846154,0.0653846153846154
tomato,pink,carrot,pink tomato,0.056,0.0190795454545455,0.101840909090909
tomato,pink,fruit,pink tomato,0.233,0.10665,0.3821
tomato,pink,pear,pink tomato,0.011,0.004,0.0173333333333333
tomato,pink,pepper,pink tomato,0.063,0.022962962962963,0.112611111111111
tomato,pink,tomato,pink tomato,0.412,0.339652542372881,0.496275423728814
tomato,pink,vegetable,pink tomato,0.336,0.202308823529412,0.484720588235294
tomato,red,apple,red tomato,0.093,0.0114285714285714,0.207857142857143
tomato,red,avocado,red tomato,0.023,0.006,0.0433333333333333
tomato,red,banana,red tomato,0.013,0.00571428571428571,0.02
tomato,red,carrot,red tomato,0.011,0.002,0.0220166666666667
tomato,red,fruit,red tomato,0.413,0.28887962962963,0.541851851851852
tomato,red,pear,red tomato,0.047,0.0233333333333333,0.0737037037037037
tomato,red,pepper,red tomato,0.049,0.015,0.095015625
tomato,red,tomato,red tomato,0.962,0.927775423728814,0.985762711864407
tomato,red,vegetable,red tomato,0.745,0.62673,0.84121
