Utterance condition Probability YMax YMin ModelType
basic item12 0.219784893601039 0.272643498261853 0.169780679647883 interpolated
basic item22 0.578329059787671 0.627867751435711 0.52884188098596 interpolated
basic item23 0.569817843762807 0.614833153485529 0.525910490487471 interpolated
basic item33 0.471651908627551 0.507727030660399 0.434751123900155 interpolated
sub item12 0.75442952062458 0.804767808837329 0.702330234998301 interpolated
sub item22 0.410004967388024 0.458593146295409 0.363009189928717 interpolated
sub item23 0.387313511821079 0.430837212721412 0.341928427689604 interpolated
sub item33 0.294703022722182 0.327800895505787 0.261615283007915 interpolated
super item12 0.024564949486812 0.0325470557638071 0.0181505579297862 interpolated
super item22 0.00844607057843767 0.0105065181339759 0.00650730910320178 interpolated
super item23 0.0379368676918808 0.044318346866375 0.0314260509128886 interpolated
super item33 0.233926836986031 0.256356557120016 0.212500552887829 interpolated
