"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"177"	"3791-8"	1455301207635	15	"subSuperTrial"	"basic23"	"poloShirt"	"target"	4	2	"shirt"	"clothing"	"socks"	"distractor"	2	3	NA	"clothing"	"firetruck"	"distractor"	3	4	NA	"vehicle"	"t shirt"	""	"1455301206417"	"t shirt"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"499"	"6879-8"	1455301202246	8	"subSuperTrial"	"basic12"	"poloShirt"	"target"	3	2	"shirt"	"clothing"	"socks"	"distractor"	4	4	NA	"clothing"	"campShirt"	"distractor"	2	3	"shirt"	"clothing"	"blue polo shirt"	""	"1455301200867"	"blue polo shirt"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"797"	"5611-0"	1455301815707	69	"subSuperTrial"	"basic12"	"poloShirt"	"target"	2	4	"shirt"	"clothing"	"campShirt"	"distractor"	3	2	"shirt"	"clothing"	"socks"	"distractor"	4	3	NA	"clothing"	"polo shirt"	""	"1455301812701"	"polo shirt"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1338"	"0585-7"	1455302695266	53	"subSuperTrial"	"basic12"	"poloShirt"	"target"	3	4	"shirt"	"clothing"	"dress"	"distractor"	4	3	NA	"clothing"	"campShirt"	"distractor"	2	2	"shirt"	"clothing"	"blue polo"	""	"1455302691781"	"blue polo"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1435"	"1448-1"	1455302825131	27	"subSuperTrial"	"basic12"	"poloShirt"	"target"	2	2	"shirt"	"clothing"	"socks"	"distractor"	4	4	NA	"clothing"	"campShirt"	"distractor"	3	3	"shirt"	"clothing"	"Blue Polo"	""	"1455302823226"	"Blue Polo"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1521"	"7734-1"	1455304083120	55	"subSuperTrial"	"basic12"	"poloShirt"	"target"	3	3	"shirt"	"clothing"	"campShirt"	"distractor"	2	4	"shirt"	"clothing"	"dress"	"distractor"	4	2	NA	"clothing"	"polo I think"	""	"1455304079798"	"polo I think"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1543"	"0422-5"	1455303468181	36	"subSuperTrial"	"basic22"	"poloShirt"	"target"	3	3	"shirt"	"clothing"	"bathrobe"	"distractor"	4	4	NA	"clothing"	"gloves"	"distractor"	2	2	NA	"clothing"	"polo shirt"	""	"1455303465736"	"polo shirt"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1721"	"4509-7"	1455304953909	60	"subSuperTrial"	"basic12"	"poloShirt"	"target"	3	2	"shirt"	"clothing"	"campShirt"	"distractor"	4	3	"shirt"	"clothing"	"gloves"	"distractor"	2	4	NA	"clothing"	"polo shirt"	""	"1455304951544"	"polo shirt"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1863"	"7082-7"	1455305966806	59	"subSuperTrial"	"basic12"	"poloShirt"	"target"	2	2	"shirt"	"clothing"	"socks"	"distractor"	3	3	NA	"clothing"	"campShirt"	"distractor"	4	4	"shirt"	"clothing"	"polo"	""	"1455305963575"	"polo"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2068"	"8883-2"	1455309050231	49	"subSuperTrial"	"basic12"	"poloShirt"	"target"	4	2	"shirt"	"clothing"	"campShirt"	"distractor"	3	3	"shirt"	"clothing"	"dress"	"distractor"	2	4	NA	"clothing"	"blue polo no button"	""	"1455309044492"	"blue polo no button"	"poloShirt"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
