gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
1578,9867-6,1455303892450,16,subSuperTrial,basic22,pug,target,4,4,dog,animal,pig,distractor,2,2,NA,animal,iguana,distractor,3,3,NA,animal,Tan Dog,,1455303887607,Tan Dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1596,1625-9,1455303914191,28,subSuperTrial,basic23,husky,target,2,3,dog,animal,firetruck,distractor,3,4,NA,vehicle,lobster,distractor,4,2,NA,animal,dog,,1455303902502,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1632,0244-4,1455304071034,25,subSuperTrial,basic23,germanShepherd,target,4,2,dog,animal,squirrel,distractor,3,4,NA,animal,rosemary,distractor,2,3,NA,plant,dog,,1455304067186,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1637,0244-4,1455304179739,34,subSuperTrial,basic23,pug,target,3,2,dog,animal,rosemary,distractor,4,4,NA,plant,lobster,distractor,2,3,NA,animal,dog,,1455304177543,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1639,0244-4,1455304217800,37,subSuperTrial,basic23,husky,target,3,3,dog,animal,squirrel,distractor,2,4,NA,animal,rosemary,distractor,4,2,NA,plant,dog,,1455304215853,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1648,0244-4,1455304433163,55,subSuperTrial,basic33,dalmatian,target,3,4,dog,animal,dress,distractor,4,2,NA,clothing,pretzels,distractor,2,3,NA,snack,dog,,1455304431667,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1665,7569-e,1455304648697,22,subSuperTrial,basic23,husky,target,3,3,dog,animal,cow,distractor,2,4,NA,animal,motorcycle,distractor,4,2,NA,vehicle,it is a pet___dog,,1455304644745___1455304649631,it is a pet,husky,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1666,7569-e,1455304663518,23,subSuperTrial,basic22,germanShepherd,target,4,3,dog,animal,lobster,distractor,2,4,NA,animal,sheep,distractor,3,2,NA,animal,it is a dog,,1455304652942,it is a dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1698,4509-7,1455304617940,18,subSuperTrial,basic23,germanShepherd,target,4,2,dog,animal,bison,distractor,3,4,NA,animal,lamp,distractor,2,3,NA,furniture,yep___dog,,1455304615142___1455304616142,yep,germanShepherd,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1702,4509-7,1455304689977,26,subSuperTrial,basic22,husky,target,3,2,dog,animal,bison,distractor,4,4,NA,animal,cow,distractor,2,3,NA,animal,dog,,1455304688402,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1798,7960-f,1455304349179,69,subSuperTrial,basic22,germanShepherd,target,4,3,dog,animal,sheep,distractor,2,2,NA,animal,rhino,distractor,3,4,NA,animal,dog,,1455304346398,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1848,7082-7,1455305842835,34,subSuperTrial,basic22,pug,target,4,3,dog,animal,snake,distractor,2,4,NA,animal,rabbit,distractor,3,2,NA,animal,dog,,1455305841739,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1851,7082-7,1455305878233,41,subSuperTrial,basic33,germanShepherd,target,2,2,dog,animal,gloves,distractor,3,3,NA,clothing,grasses,distractor,4,4,NA,plant,dog,,1455305877398,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2003,6517-b,1455307317977,64,subSuperTrial,basic23,dalmatian,target,4,2,dog,animal,lamp,distractor,3,3,NA,furniture,bison,distractor,2,4,NA,animal,dog,,1455307316381,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2005,6517-b,1455307338992,67,subSuperTrial,basic12,germanShepherd,target,4,4,dog,animal,greyhound,distractor,3,2,dog,animal,squirrel,distractor,2,3,NA,animal,german dog,,1455307337088,german dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2015,3188-4,1455304131766,18,subSuperTrial,basic33,dalmatian,target,2,4,dog,animal,cookies,distractor,4,3,NA,snack,firetruck,distractor,3,2,NA,vehicle,dog,,1455304129893,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2027,3188-4,1455304252926,37,subSuperTrial,basic23,pug,target,3,4,dog,animal,rosemary,distractor,4,2,NA,plant,lion,distractor,2,3,NA,animal,dog,,1455304251584,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2032,3188-4,1455304330300,48,subSuperTrial,basic33,germanShepherd,target,4,2,dog,animal,cookies,distractor,3,4,NA,snack,motorcycle,distractor,2,3,NA,vehicle,dog,,1455304327464,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2075,8883-2,1455309209684,65,subSuperTrial,basic23,husky,target,3,2,dog,animal,horse,distractor,4,3,NA,animal,chips,distractor,2,4,NA,snack,dog,,1455309208514,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2099,6344-9,1455311963459,43,subSuperTrial,basic22,pug,target,3,2,dog,animal,pig,distractor,2,4,NA,animal,squirrel,distractor,4,3,NA,animal,dog,,1455311961631,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2104,6344-9,1455312063504,56,subSuperTrial,basic23,dalmatian,target,4,3,dog,animal,wardrobe,distractor,2,4,NA,furniture,horse,distractor,3,2,NA,animal,dog,,1455312060174,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2119,0189-3,1455315681867,9,subSuperTrial,basic33,germanShepherd,target,4,2,dog,animal,gloves,distractor,3,3,NA,clothing,pottedPlant,distractor,2,4,NA,plant,dog,,1455315680619,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2128,0189-3,1455315804126,27,subSuperTrial,basic22,pug,target,3,4,dog,animal,kitten,distractor,2,2,NA,animal,rabbit,distractor,4,3,NA,animal,dog,,1455315802110,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2136,0189-3,1455315883745,39,subSuperTrial,basic22,husky,target,4,2,dog,animal,bison,distractor,3,4,NA,animal,cow,distractor,2,3,NA,animal,dog,,1455315882443,dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2140,0189-3,1455315954362,51,subSuperTrial,basic12,dalmatian,target,4,3,dog,animal,kitten,distractor,3,4,NA,animal,greyhound,distractor,2,2,dog,animal,spotted dog,,1455315952844,spotted dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2153,9173-f,1455315079373,3,subSuperTrial,basic33,germanShepherd,target,4,2,dog,animal,gloves,distractor,2,3,NA,clothing,bookcase,distractor,3,4,NA,furniture,dog,,1455315077159,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2154,9173-f,1455315091202,4,subSuperTrial,basic22,pug,target,2,3,dog,animal,horse,distractor,4,2,NA,animal,snake,distractor,3,4,NA,animal,dog,,1455315089357,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
