"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"3"	"2298-c"	1455300989982	14	"subSuperTrial"	"basic12"	"picnicTable"	"target"	4	3	"table"	"furniture"	"sideTable"	"distractor"	3	2	"table"	"furniture"	"bed"	"distractor"	2	4	NA	"furniture"	"Picnic table"	""	"1455300988582"	"Picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"2662-0"	1455301151048	20	"subSuperTrial"	"basic12"	"picnicTable"	"target"	3	3	"table"	"furniture"	"sideTable"	"distractor"	2	2	"table"	"furniture"	"bookcase"	"distractor"	4	4	NA	"furniture"	"picnic"	""	"1455301149748"	"picnic"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"92"	"4633-0"	1455301351045	39	"subSuperTrial"	"basic23"	"picnicTable"	"target"	4	4	"table"	"furniture"	"bookcase"	"distractor"	2	3	NA	"furniture"	"kitten"	"distractor"	3	2	NA	"animal"	"picnic table"	""	"1455301349365"	"picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"145"	"8691-5"	1455301082273	18	"subSuperTrial"	"basic23"	"picnicTable"	"target"	4	4	"table"	"furniture"	"lobster"	"distractor"	3	3	NA	"animal"	"lamp"	"distractor"	2	2	NA	"furniture"	"picnic table"	""	"1455301080848"	"picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"176"	"3791-8"	1455301163842	12	"subSuperTrial"	"basic23"	"picnicTable"	"target"	3	3	"table"	"furniture"	"rosemary"	"distractor"	4	4	NA	"plant"	"bookcase"	"distractor"	2	2	NA	"furniture"	"picnic table"	""	"1455301161310"	"picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"234"	"5664-b"	1455301391204	52	"subSuperTrial"	"basic12"	"picnicTable"	"target"	3	2	"table"	"furniture"	"sideTable"	"distractor"	4	4	"table"	"furniture"	"bookcase"	"distractor"	2	3	NA	"furniture"	"picnic bench"	""	"1455301389338"	"picnic bench"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"342"	"1749-c"	1455301352950	57	"subSuperTrial"	"basic22"	"picnicTable"	"target"	3	4	"table"	"furniture"	"wardrobe"	"distractor"	2	2	NA	"furniture"	"bookcase"	"distractor"	4	3	NA	"furniture"	"picknick table"	""	"1455301351623"	"picknick table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"409"	"9973-0"	1455301329058	48	"subSuperTrial"	"basic12"	"picnicTable"	"target"	3	2	"table"	"furniture"	"bed"	"distractor"	4	4	NA	"furniture"	"sideTable"	"distractor"	2	3	"table"	"furniture"	"picnic"	""	"1455301327544"	"picnic"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"464"	"4886-d"	1455301226674	15	"subSuperTrial"	"basic23"	"picnicTable"	"target"	2	2	"table"	"furniture"	"hamster"	"distractor"	4	4	NA	"animal"	"lamp"	"distractor"	3	3	NA	"furniture"	"picnic"	""	"1455301225099"	"picnic"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"513"	"6879-8"	1455301346728	37	"subSuperTrial"	"basic33"	"picnicTable"	"target"	2	3	"table"	"furniture"	"popcorn"	"distractor"	3	4	NA	"snack"	"bathrobe"	"distractor"	4	2	NA	"clothing"	"bench"	""	"1455301345684"	"bench"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"561"	"0842-a"	1455301793076	60	"subSuperTrial"	"basic23"	"picnicTable"	"target"	2	4	"table"	"furniture"	"bed"	"distractor"	4	2	NA	"furniture"	"rhino"	"distractor"	3	3	NA	"animal"	"bench"	""	"1455301790733"	"bench"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"614"	"8691-9"	1455301453617	23	"subSuperTrial"	"basic22"	"picnicTable"	"target"	4	2	"table"	"furniture"	"lamp"	"distractor"	2	3	NA	"furniture"	"bookcase"	"distractor"	3	4	NA	"furniture"	"picnic table"	""	"1455301452226"	"picnic table"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"674"	"5895-f"	1455301786645	38	"subSuperTrial"	"basic22"	"picnicTable"	"target"	2	2	"table"	"furniture"	"bed"	"distractor"	3	3	NA	"furniture"	"bookcase"	"distractor"	4	4	NA	"furniture"	"picnic"	""	"1455301783382"	"picnic"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
