"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"622"	"8691-9"	1455301559723	38	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"crocodile"	"distractor"	2	2	NA	"animal"	"cookies"	"distractor"	3	4	NA	"snack"	"jelly"	""	"1455301556678"	"jelly"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"707"	"3084-5"	1455302083463	38	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	4	4	"candy"	"snack"	"cookies"	"distractor"	3	3	NA	"snack"	"candyCorn"	"distractor"	2	2	"candy"	"snack"	"jelly beans"	""	"1455302081209"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"736"	"3197-1"	1455301552354	21	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"ivy"	"distractor"	4	2	NA	"plant"	"rhino"	"distractor"	3	3	NA	"animal"	"jellybeans"	""	"1455301549497"	"jellybeans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"765"	"5611-0"	1455301508973	7	"subSuperTrial"	"basic12"	"jellyBeans"	"target"	3	4	"candy"	"snack"	"candyCorn"	"distractor"	2	3	"candy"	"snack"	"cookies"	"distractor"	4	2	NA	"snack"	"jelly beans"	""	"1455301507592"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"814"	"4205-4"	1455301716863	38	"subSuperTrial"	"basic33"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"motorcycle"	"distractor"	3	3	NA	"vehicle"	"lion"	"distractor"	4	2	NA	"animal"	"jelly bean"	""	"1455301715684"	"jelly bean"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"893"	"8344-c"	1455302007585	44	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	4	"candy"	"snack"	"pretzels"	"distractor"	4	2	NA	"snack"	"squirrel"	"distractor"	2	3	NA	"animal"	"jelly beans"	""	"1455302006491"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"946"	"0327-7"	1455301743277	12	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	2	3	"candy"	"snack"	"chips"	"distractor"	4	4	NA	"snack"	"socks"	"distractor"	3	2	NA	"clothing"	"jelly beans"	""	"1455301742170"	"jelly beans"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1012"	"7949-f"	1455302141839	69	"subSuperTrial"	"basic22"	"jellyBeans"	"target"	3	3	"candy"	"snack"	"pretzels"	"distractor"	2	2	NA	"snack"	"chips"	"distractor"	4	4	NA	"snack"	"jelly"	""	"1455302140238"	"jelly"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1074"	"3676-c"	1455302209708	41	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	2	4	"candy"	"snack"	"cookies"	"distractor"	3	3	NA	"snack"	"iguana"	"distractor"	4	2	NA	"animal"	"jelly"	""	"1455302208097"	"jelly"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1100"	"6426-3"	1455302621967	30	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	4	3	"candy"	"snack"	"snake"	"distractor"	3	4	NA	"animal"	"pretzels"	"distractor"	2	2	NA	"snack"	"jelly beans___ lots of colors"	""	"1455302620643"	"jelly beans  lots of colors"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
