gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,onlySubAttr,onlyBasicAttr,onlySuperAttr,onlyOtherAttr,oneMentioned,theMentioned,fullSentence,noLevelMentioned,subAllAttr,basicAllAttr,superAllAttr,X,X.1,X.2,X.3,X.4,X.5,X.6,X.7,
901,8344-c,1455302121224,61,subSuperTrial,basic23,coffeeTable,target,4,2,table,furniture,kitten,distractor,2,4,NA,animal,wardrobe,distractor,3,3,NA,furniture,table,,1455302119689,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
976,0327-7,1455302038286,67,subSuperTrial,basic23,diningTable,target,4,2,table,furniture,wardrobe,distractor,2,4,NA,furniture,hamster,distractor,3,3,NA,animal,table,,1455302037032,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
989,7949-f,1455301887846,23,subSuperTrial,basic12,diningTable,target,3,3,table,furniture,lamp,distractor,4,2,NA,furniture,sideTable,distractor,2,4,table,furniture,long table,,1455301886268,long table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1013,7949-f,1455302146499,70,subSuperTrial,basic23,coffeeTable,target,3,2,table,furniture,crocodile,distractor,2,3,NA,animal,lamp,distractor,4,4,NA,furniture,table,,1455302145180,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1051,3676-c,1455301838067,3,subSuperTrial,basic23,coffeeTable,target,4,3,table,furniture,kitten,distractor,2,4,NA,animal,wardrobe,distractor,3,2,NA,furniture,table,,1455301836224,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1065,3676-c,1455302060846,25,subSuperTrial,basic22,diningTable,target,3,3,table,furniture,wardrobe,distractor,2,4,NA,furniture,bookcase,distractor,4,2,NA,furniture,table,,1455302042736,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1088,6426-3,1455301987968,4,subSuperTrial,basic23,picnicTable,target,2,4,table,furniture,firetruck,distractor,3,3,NA,vehicle,bookcase,distractor,4,2,NA,furniture,outdoor wooden table,Let's set a fast pace!,1455301980620___1455301984051,outdoor wooden table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1134,1984-6,1455302062958,23,subSuperTrial,basic33,coffeeTable,target,2,3,table,furniture,lobster,distractor,3,4,NA,animal,popcorn,distractor,4,2,NA,snack,table,,1455302061693,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1141,1984-6,1455302127528,34,subSuperTrial,basic22,diningTable,target,2,4,table,furniture,bookcase,distractor,4,2,NA,furniture,wardrobe,distractor,3,3,NA,furniture,table,,1455302126278,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1154,1984-6,1455302292498,64,subSuperTrial,basic23,picnicTable,target,2,4,table,furniture,train,distractor,3,3,NA,vehicle,bookcase,distractor,4,2,NA,furniture,table,,1455302291342,table,picnicTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
