"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"36"	"2298-c"	1455301266969	72	"subSuperTrial"	"basic12"	"skittles"	"target"	2	2	"candy"	"snack"	"candyCorn"	"distractor"	4	3	"candy"	"snack"	"popcorn"	"distractor"	3	4	NA	"snack"	"Skittles"	""	"1455301265668"	"Skittles"	"skittles"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"44"	"2662-0"	1455301151048	20	"subSuperTrial"	"basic12"	"picnicTable"	"target"	3	3	"table"	"furniture"	"sideTable"	"distractor"	2	2	"table"	"furniture"	"bookcase"	"distractor"	4	4	NA	"furniture"	"picnic"	""	"1455301149748"	"picnic"	"picnicTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"54"	"2662-0"	1455301371145	40	"subSuperTrial"	"basic12"	"polarBear"	"target"	2	4	"bear"	"animal"	"koalaBear"	"distractor"	4	3	"bear"	"animal"	"pig"	"distractor"	3	2	NA	"animal"	"polar"	""	"1455301369702"	"polar"	"polarBear"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"64"	"2662-0"	1455301525908	58	"subSuperTrial"	"basic22"	"gummyBears"	"target"	4	4	"candy"	"snack"	"cookies"	"distractor"	3	3	NA	"snack"	"popcorn"	"distractor"	2	2	NA	"snack"	"gummy"	""	"1455301524102"	"gummy"	"gummyBears"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"74"	"4633-0"	1455300971259	4	"subSuperTrial"	"basic22"	"pug"	"target"	3	2	"dog"	"animal"	"elephant"	"distractor"	2	3	NA	"animal"	"pig"	"distractor"	4	4	NA	"animal"	"pug"	""	"1455300969929"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"77"	"4633-0"	1455301016739	9	"subSuperTrial"	"basic23"	"jellyBeans"	"target"	3	4	"candy"	"snack"	"popcorn"	"distractor"	2	3	NA	"snack"	"bookcase"	"distractor"	4	2	NA	"furniture"	"jellybean"	""	"1455301015110"	"jellybean"	"jellyBeans"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"79"	"4633-0"	1455301131790	18	"subSuperTrial"	"basic12"	"daisy"	"target"	4	2	"flower"	"plant"	"rosemary"	"distractor"	2	4	NA	"plant"	"lily"	"distractor"	3	3	"flower"	"plant"	"daisy yellow center"	""	"1455301128752"	"daisy yellow center"	"daisy"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"86"	"4633-0"	1455301274275	32	"subSuperTrial"	"basic22"	"bedsideTable"	"target"	4	3	"table"	"furniture"	"bookcase"	"distractor"	3	2	NA	"furniture"	"bed"	"distractor"	2	4	NA	"furniture"	"nightstand"	""	"1455301272004"	"nightstand"	"bedsideTable"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"87"	"4633-0"	1455301289431	33	"subSuperTrial"	"basic12"	"catfish"	"target"	3	2	"fish"	"animal"	"discusFish"	"distractor"	4	4	"fish"	"animal"	"horse"	"distractor"	2	3	NA	"animal"	"catfish"	""	"1455301287226"	"catfish"	"catfish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"88"	"4633-0"	1455301311309	35	"subSuperTrial"	"basic12"	"hummingBird"	"target"	4	4	"bird"	"animal"	"crocodile"	"distractor"	3	3	NA	"animal"	"sparrow"	"distractor"	2	2	"bird"	"animal"	"hummingbird"	""	"1455301309528"	"hummingbird"	"hummingBird"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
