"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"1221"	"9617-1"	1455302425716	32	"subSuperTrial"	"basic22"	"pug"	"target"	3	3	"dog"	"animal"	"kitten"	"distractor"	2	4	NA	"animal"	"sheep"	"distractor"	4	2	NA	"animal"	"Pug"	""	"1455302424423"	"Pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1291"	"6588-d"	1455302710747	32	"subSuperTrial"	"basic23"	"pug"	"target"	4	4	"dog"	"animal"	"firetruck"	"distractor"	3	2	NA	"vehicle"	"sheep"	"distractor"	2	3	NA	"animal"	"Pug dog"	""	"1455302708635"	"Pug dog"	"pug"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1345"	"0585-7"	1455302797843	70	"subSuperTrial"	"basic12"	"pug"	"target"	4	3	"dog"	"animal"	"snake"	"distractor"	2	2	NA	"animal"	"greyhound"	"distractor"	3	4	"dog"	"animal"	"dog___pug"	""	"1455302796088"	"dog  pug"	"pug"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1367"	"3747-d"	1455302618657	36	"subSuperTrial"	"basic33"	"pug"	"target"	3	4	"dog"	"animal"	"grasses"	"distractor"	4	2	NA	"plant"	"motorcycle"	"distractor"	2	3	NA	"vehicle"	"pug"	""	"1455302617288"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1412"	"2785-6"	1455302954727	58	"subSuperTrial"	"basic12"	"pug"	"target"	3	2	"dog"	"animal"	"greyhound"	"distractor"	2	4	"dog"	"animal"	"rabbit"	"distractor"	4	3	NA	"animal"	"pug"	""	"1455302953416"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1514"	"7734-1"	1455303873498	44	"subSuperTrial"	"basic22"	"pug"	"target"	4	3	"dog"	"animal"	"rabbit"	"distractor"	3	2	NA	"animal"	"sheep"	"distractor"	2	4	NA	"animal"	"wolf?"	""	"1455303870662"	"wolf?"	"pug"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1612"	"1625-9"	1455304698439	63	"subSuperTrial"	"basic33"	"pug"	"target"	4	4	"dog"	"animal"	"ambulance"	"distractor"	2	3	NA	"vehicle"	"popcorn"	"distractor"	3	2	NA	"snack"	"pug dog"	""	"1455304697089"	"pug dog"	"pug"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1716"	"4509-7"	1455304902521	53	"subSuperTrial"	"basic12"	"pug"	"target"	3	3	"dog"	"animal"	"greyhound"	"distractor"	4	4	"dog"	"animal"	"iguana"	"distractor"	2	2	NA	"animal"	"pug"	""	"1455304900579"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1758"	"5699-7"	1455306063719	63	"subSuperTrial"	"basic33"	"pug"	"target"	4	3	"dog"	"animal"	"wardrobe"	"distractor"	2	4	NA	"furniture"	"motorcycle"	"distractor"	3	2	NA	"vehicle"	"pug"	""	"1455306061630"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1778"	"7960-f"	1455304021971	24	"subSuperTrial"	"basic12"	"pug"	"target"	2	3	"dog"	"animal"	"sheep"	"distractor"	4	4	NA	"animal"	"greyhound"	"distractor"	3	2	"dog"	"animal"	"pug"	""	"1455304017998"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1834"	"6625-1"	1455306278794	68	"subSuperTrial"	"basic12"	"pug"	"target"	3	3	"dog"	"animal"	"greyhound"	"distractor"	2	2	"dog"	"animal"	"elephant"	"distractor"	4	4	NA	"animal"	"pug"	""	"1455306277236"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1985"	"6517-b"	1455307146389	28	"subSuperTrial"	"basic22"	"pug"	"target"	3	4	"dog"	"animal"	"iguana"	"distractor"	4	2	NA	"animal"	"hamster"	"distractor"	2	3	NA	"animal"	"pug"	""	"1455307144968"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2054"	"8883-2"	1455308774296	26	"subSuperTrial"	"basic22"	"pug"	"target"	2	3	"dog"	"animal"	"horse"	"distractor"	3	2	NA	"animal"	"iguana"	"distractor"	4	4	NA	"animal"	"pug"	""	"1455308772996"	"pug"	"pug"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
