nameClickedObj,condition,DistractorCombo
swordfish,distr12,discusFish rhino
clownfish,distr12,discusFish squirrel
goldfish,distr12,discusFish squirrel
catfish,distr12,discusFish pig
swordfish,distr12,cow discusFish
husky,distr12,cow greyhound
pandabear,distr12,koalaBear pig
grizzlybear,distr12,koalaBear snake
daisy,distr12,lily pottedPlant
daisy,distr12,grasses lily
tulip,distr12,lily rosemary
suv,distr12,sedan train
diningtable,distr12,bed sideTable
picnictable,distr12,bed sideTable
bedsidetable,distr12,sideTable wardrobe
coffeetable,distr12,sideTable wardrobe
eagle,distr12,bison sparrow
pigeon,distr12,chick sparrow
pigeon,distr12,rabbit sparrow
eagle,distr12,cow sparrow
minivan,distr22,ambulance motorcycle
sportscar,distr22,ambulance train
suv,distr22,ambulance train
minivan,distr22,ambulance train
tshirt,distr22,bathrobe socks
picnictable,distr22,bed lamp
diningtable,distr22,bed bookcase
pug,distr22,bison rhino
pug,distr22,bison crocodile
catfish,distr22,bison elephant
hummingbird,distr22,bison horse
hawaiishirt,distr22,bathrobe dress
picnictable,distr22,bed wardrobe
coffeetable,distr22,bed bookcase
bedsidetable,distr22,bed wardrobe
poloshirt,distr22,bathrobe socks
bedsidetable,distr22,bed lamp
swordfish,distr22,bison horse
blackbear,distr22,chick kitten
polarbear,distr22,chick squirrel
dressshirt,distr22,dress gloves
dressshirt,distr22,dress socks
catfish,distr22,chick elephant
daisy,distr22,grasses rosemary
eagle,distr22,horse snake
goldfish,distr22,iguana lobster
rose,distr22,ivy rosemary
pug,distr22,lion snake
swordfish,distr22,elephant pig
daisy,distr22,ivy pottedPlant
pug,distr22,pig rabbit
husky,distr22,rabbit squirrel
germanshepherd,distr22,chick rhino
pigeon,distr22,rhino sheep
tulip,distr22,grasses rosemary
daisy,distr22,ivy rosemary
tulip,distr22,pottedPlant rosemary
pandabear,distr22,iguana sheep
goldfish,distr22,rabbit snake
hawaiishirt,distr22,gloves socks
clownfish,distr22,iguana squirrel
diningtable,distr22,bookcase wardrobe
coffeetable,distr22,bookcase wardrobe
hummingbird,distr12,chick snake
skittles,distr22,chips pretzels
gummybears,distr22,chips cookies
pigeon,distr22,cow crocodile
dalmatian,distr22,cow pig
polarbear,distr22,crocodile kitten
parrot,distr22,crocodile lion
tshirt,distr22,bathrobe dress
swordfish,distr22,elephant kitten
eagle,distr22,elephant pig
sportscar,distr22,firetruck motorcycle
convertible,distr22,firetruck motorcycle
poloshirt,distr22,gloves socks
tshirt,distr22,gloves socks
dressshirt,distr22,gloves socks
hawaiishirt,distr22,dress gloves
poloshirt,distr22,dress gloves
tulip,distr22,grasses pottedPlant
eagle,distr22,iguana lion
pug,distr22,chick iguana
dalmatian,distr22,kitten rabbit
blackbear,distr22,horse lion
germanshepherd,distr22,horse lion
clownfish,distr22,lion pig
goldfish,distr22,lion lobster
catfish,distr22,cow lobster
pandabear,distr22,crocodile lobster
minivan,distr22,motorcycle train
