condition,target,priorWeight,label,prob
item12,coffeeTable,0.005,type,0.5343
item12,coffeeTable,0.005,basicLevel,0.2832
item12,coffeeTable,0.005,superDomain,0.1825
item12,diningTable,0.005,type,0.5335
item12,diningTable,0.005,basicLevel,0.2837
item12,diningTable,0.005,superDomain,0.1828
item12,picnicTable,0.005,type,0.5334
item12,picnicTable,0.005,basicLevel,0.2838
item12,picnicTable,0.005,superDomain,0.1828
item12,bedsideTable,0.005,type,0.5319
item12,bedsideTable,0.005,basicLevel,0.2847
item12,bedsideTable,0.005,superDomain,0.1834
item22,coffeeTable,0.005,type,0.4164
item22,coffeeTable,0.005,basicLevel,0.4414
item22,coffeeTable,0.005,superDomain,0.1422
item22,diningTable,0.005,type,0.4156
item22,diningTable,0.005,basicLevel,0.4420
item22,diningTable,0.005,superDomain,0.1424
item22,picnicTable,0.005,type,0.4155
item22,picnicTable,0.005,basicLevel,0.4421
item22,picnicTable,0.005,superDomain,0.1424
item22,bedsideTable,0.005,type,0.4141
item22,bedsideTable,0.005,basicLevel,0.4432
item22,bedsideTable,0.005,superDomain,0.1428
item23,coffeeTable,0.005,type,0.3887
item23,coffeeTable,0.005,basicLevel,0.4121
item23,coffeeTable,0.005,superDomain,0.1991
item23,diningTable,0.005,type,0.3879
item23,diningTable,0.005,basicLevel,0.4127
item23,diningTable,0.005,superDomain,0.1994
item23,picnicTable,0.005,type,0.3879
item23,picnicTable,0.005,basicLevel,0.4127
item23,picnicTable,0.005,superDomain,0.1994
item23,bedsideTable,0.005,type,0.3865
item23,bedsideTable,0.005,basicLevel,0.4137
item23,bedsideTable,0.005,superDomain,0.1999
item33,coffeeTable,0.005,type,0.3242
item33,coffeeTable,0.005,basicLevel,0.3437
item33,coffeeTable,0.005,superDomain,0.3321
item33,diningTable,0.005,type,0.3235
item33,diningTable,0.005,basicLevel,0.3441
item33,diningTable,0.005,superDomain,0.3325
item33,picnicTable,0.005,type,0.3234
item33,picnicTable,0.005,basicLevel,0.3441
item33,picnicTable,0.005,superDomain,0.3325
item33,bedsideTable,0.005,type,0.3221
item33,bedsideTable,0.005,basicLevel,0.3448
item33,bedsideTable,0.005,superDomain,0.3332
