condition,target,priorWeight,label,prob
item12,blackBear,0.005,type,0.5350
item12,blackBear,0.005,basicLevel,0.2791
item12,blackBear,0.005,superDomain,0.1859
item12,polarBear,0.005,type,0.5352
item12,polarBear,0.005,basicLevel,0.2790
item12,polarBear,0.005,superDomain,0.1858
item12,pandaBear,0.005,type,0.5307
item12,pandaBear,0.005,basicLevel,0.2817
item12,pandaBear,0.005,superDomain,0.1876
item12,grizzlyBear,0.005,type,0.5323
item12,grizzlyBear,0.005,basicLevel,0.2807
item12,grizzlyBear,0.005,superDomain,0.1870
item22,blackBear,0.005,type,0.4182
item22,blackBear,0.005,basicLevel,0.4364
item22,blackBear,0.005,superDomain,0.1453
item22,polarBear,0.005,type,0.4185
item22,polarBear,0.005,basicLevel,0.4363
item22,polarBear,0.005,superDomain,0.1453
item22,pandaBear,0.005,type,0.4141
item22,pandaBear,0.005,basicLevel,0.4395
item22,pandaBear,0.005,superDomain,0.1464
item22,grizzlyBear,0.005,type,0.4156
item22,grizzlyBear,0.005,basicLevel,0.4384
item22,grizzlyBear,0.005,superDomain,0.1460
item23,blackBear,0.005,type,0.3899
item23,blackBear,0.005,basicLevel,0.4069
item23,blackBear,0.005,superDomain,0.2033
item23,polarBear,0.005,type,0.3901
item23,polarBear,0.005,basicLevel,0.4067
item23,polarBear,0.005,superDomain,0.2032
item23,pandaBear,0.005,type,0.3859
item23,pandaBear,0.005,basicLevel,0.4096
item23,pandaBear,0.005,superDomain,0.2046
item23,grizzlyBear,0.005,type,0.3874
item23,grizzlyBear,0.005,basicLevel,0.4085
item23,grizzlyBear,0.005,superDomain,0.2041
item33,blackBear,0.005,type,0.3240
item33,blackBear,0.005,basicLevel,0.3381
item33,blackBear,0.005,superDomain,0.3378
item33,polarBear,0.005,type,0.3242
item33,polarBear,0.005,basicLevel,0.3380
item33,polarBear,0.005,superDomain,0.3377
item33,pandaBear,0.005,type,0.3203
item33,pandaBear,0.005,basicLevel,0.3400
item33,pandaBear,0.005,superDomain,0.3397
item33,grizzlyBear,0.005,type,0.3217
item33,grizzlyBear,0.005,basicLevel,0.3393
item33,grizzlyBear,0.005,superDomain,0.3390
