condition,TargetColor,TargetType,Dist1Color,Dist1Type,Dist2Color,Dist2Type,value,prob,MCMCprob
overinformative-cc,orange,pepper,green,apple,orange,pear,apple,2.749150460896646e-10,0
overinformative-cc,orange,pepper,green,apple,orange,pear,green,6.055791443750168e-9,0
overinformative-cc,orange,pepper,green,apple,orange,pear,orange_pepper,0.44874039056545995,0
overinformative-cc,orange,pepper,green,apple,orange,pear,pepper,0.5480642451018319,0
overinformative-cc,orange,pepper,green,apple,orange,pear,orange,0.0031784508869287177,0
overinformative,red,pepper,blue,apple,pink,tomato,pink_tomato,5.302341592058084e-7,0
overinformative,red,pepper,blue,apple,pink,tomato,tomato,0.000008492816683123576,0
overinformative,red,pepper,blue,apple,pink,tomato,pink,0.00000927614588213836,0
overinformative,red,pepper,blue,apple,pink,tomato,blue_apple,2.4203757526002244e-10,0
overinformative,red,pepper,blue,apple,pink,tomato,apple,0.000004512704701430337,0
overinformative,red,pepper,blue,apple,pink,tomato,blue,2.0433629108450862e-10,0
overinformative,red,pepper,blue,apple,pink,tomato,red_pepper,0.38420385523814105,0
overinformative,red,pepper,blue,apple,pink,tomato,pepper,0.46061431314545714,0
overinformative,red,pepper,blue,apple,pink,tomato,red,0.15515901926860173,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,green_tomato,2.1777681704931283e-10,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,tomato,2.3909168859112487e-8,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,green,9.369568372262676e-9,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,yellow_banana,1.134761782179364e-10,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,banana,3.4884842037083425e-10,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,yellow_pear,0.4219958889163174,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,pear,0.5757460629337512,0
overinformative-cc,yellow,pear,yellow,banana,green,tomato,yellow,0.002258014191092662,0
overinformative,red,apple,black,avocado,orange,carrot,orange_carrot,4.412281442220285e-9,0
overinformative,red,apple,black,avocado,orange,carrot,carrot,7.902911958639627e-11,0
overinformative,red,apple,black,avocado,orange,carrot,orange,1.1705192028733382e-9,0
overinformative,red,apple,black,avocado,orange,carrot,black_avocado,1.2432556709147918e-10,0
overinformative,red,apple,black,avocado,orange,carrot,avocado,7.447602367277452e-9,0
overinformative,red,apple,black,avocado,orange,carrot,black,2.829385732935611e-10,0
overinformative,red,apple,black,avocado,orange,carrot,red_apple,0.39649818213999366,0
overinformative,red,apple,black,avocado,orange,carrot,apple,0.4931292414173277,0
overinformative,red,apple,black,avocado,orange,carrot,red,0.11037256292598228,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,pink_carrot,0.00013107247901731955,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,carrot,0.000017665685248235458,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,brown_banana,1.3040337080924684e-9,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,banana,5.983857566113599e-7,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,brown,1.4729623229202708e-9,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,pink_tomato,0.6280906133370523,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,tomato,0.3553930843831341,0
overinformative-cc,pink,tomato,brown,banana,pink,carrot,pink,0.016366962952795296,0
overinformative,orange,pear,blue,banana,black,pepper,black_pepper,2.6355150282899207e-10,0
overinformative,orange,pear,blue,banana,black,pepper,pepper,3.624503391188059e-7,0
overinformative,orange,pear,blue,banana,black,pepper,black,2.3587404864557742e-9,0
overinformative,orange,pear,blue,banana,black,pepper,blue_banana,6.139925983987125e-10,0
overinformative,orange,pear,blue,banana,black,pepper,banana,0.0000076024121935987844,0
overinformative,orange,pear,blue,banana,black,pepper,blue,1.1337267640231164e-9,0
overinformative,orange,pear,blue,banana,black,pepper,orange_pear,0.40538905023603494,0
overinformative,orange,pear,blue,banana,black,pepper,pear,0.39530549269347437,0
overinformative,orange,pear,blue,banana,black,pepper,orange,0.1992974878379466,0
overinformative-cc,blue,banana,blue,apple,red,pepper,red_pepper,1.277984637544155e-10,0
overinformative-cc,blue,banana,blue,apple,red,pepper,pepper,1.7499054771434527e-9,0
overinformative-cc,blue,banana,blue,apple,red,pepper,red,2.205205659828346e-9,0
overinformative-cc,blue,banana,blue,apple,red,pepper,blue_apple,2.595881254277398e-9,0
overinformative-cc,blue,banana,blue,apple,red,pepper,apple,0.000013709308424507409,0
overinformative-cc,blue,banana,blue,apple,red,pepper,blue_banana,0.7955226025869436,0
overinformative-cc,blue,banana,blue,apple,red,pepper,banana,0.1925507993299452,0
overinformative-cc,blue,banana,blue,apple,red,pepper,blue,0.011912882095895898,0
informative,red,tomato,yellow,pear,pink,tomato,pink_tomato,0.00024365669731600477,0
informative,red,tomato,yellow,pear,pink,tomato,pink,0.000025780144821861108,0
informative,red,tomato,yellow,pear,pink,tomato,yellow_pear,3.3830536364425757e-10,0
informative,red,tomato,yellow,pear,pink,tomato,pear,7.16531302937828e-10,0
informative,red,tomato,yellow,pear,pink,tomato,yellow,4.6227368405067586e-8,0
informative,red,tomato,yellow,pear,pink,tomato,red_tomato,0.40493339090230357,0
informative,red,tomato,yellow,pear,pink,tomato,tomato,0.3996590220706918,0
informative,red,tomato,yellow,pear,pink,tomato,red,0.19513810290266165,0
overinformative,red,apple,black,pepper,pink,tomato,pink_tomato,5.966573228525187e-7,0
overinformative,red,apple,black,pepper,pink,tomato,tomato,0.00002825367819589266,0
overinformative,red,apple,black,pepper,pink,tomato,pink,0.000005713059179016322,0
overinformative,red,apple,black,pepper,pink,tomato,black_pepper,5.112242658287587e-10,0
overinformative,red,apple,black,pepper,pink,tomato,pepper,1.540807066185996e-7,0
overinformative,red,apple,black,pepper,pink,tomato,black,3.57221508533416e-9,0
overinformative,red,apple,black,pepper,pink,tomato,red_apple,0.3891988757830369,0
overinformative,red,apple,black,pepper,pink,tomato,apple,0.49242449838631397,0
overinformative,red,apple,black,pepper,pink,tomato,red,0.11834190427180527,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,yellow_banana,1.1553056493569777e-10,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,banana,3.582206339975409e-10,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,red_avocado,1.0464192977702416e-9,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,avocado,6.189122953524228e-8,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,red,0.0000011352386627938797,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,yellow_pear,0.43786804363248033,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,pear,0.5598015473107373,0
overinformative-cc,yellow,pear,red,avocado,yellow,banana,yellow,0.0023292104067197507,0
informative,orange,pepper,green,apple,black,pepper,black_pepper,3.4574432155410906e-8,0
informative,orange,pepper,green,apple,black,pepper,black,1.9305547078456054e-9,0
informative,orange,pepper,green,apple,black,pepper,green_apple,2.2261591356340555e-10,0
informative,orange,pepper,green,apple,black,pepper,apple,4.042540030072701e-10,0
informative,orange,pepper,green,apple,black,pepper,green,7.805658022180417e-9,0
informative,orange,pepper,green,apple,black,pepper,orange_pepper,0.607066504611901,0
informative,orange,pepper,green,apple,black,pepper,pepper,0.12711838591701718,0
informative,orange,pepper,green,apple,black,pepper,orange,0.26581506453356685,0
overinformative,pink,tomato,red,avocado,yellow,banana,yellow_banana,2.133686563191629e-10,0
overinformative,pink,tomato,red,avocado,yellow,banana,banana,4.697392033204959e-10,0
overinformative,pink,tomato,red,avocado,yellow,banana,yellow,1.768734884051259e-8,0
overinformative,pink,tomato,red,avocado,yellow,banana,red_avocado,2.388593123965802e-8,0
overinformative,pink,tomato,red,avocado,yellow,banana,avocado,4.1656111274641727e-7,0
overinformative,pink,tomato,red,avocado,yellow,banana,red,0.000009823593740307876,0
overinformative,pink,tomato,red,avocado,yellow,banana,pink_tomato,0.5482463278734679,0
overinformative,pink,tomato,red,avocado,yellow,banana,tomato,0.2988847661470907,0
overinformative,pink,tomato,red,avocado,yellow,banana,pink,0.1528586235682006,0
informative,black,avocado,green,avocado,brown,banana,brown_banana,1.0785111823791107e-9,0
informative,black,avocado,green,avocado,brown,banana,banana,2.807024814639438e-7,0
informative,black,avocado,green,avocado,brown,banana,brown,5.329641613817037e-9,0
informative,black,avocado,green,avocado,brown,banana,green_avocado,6.340562694666921e-7,0
informative,black,avocado,green,avocado,brown,banana,green,1.3363170791158717e-7,0
informative,black,avocado,green,avocado,brown,banana,black_avocado,0.6453115607005817,0
informative,black,avocado,green,avocado,brown,banana,avocado,0.0029444328873109464,0
informative,black,avocado,green,avocado,brown,banana,black,0.3517429516134959,0
overinformative,orange,carrot,blue,banana,red,pepper,red_pepper,7.344746484713689e-11,0
overinformative,orange,carrot,blue,banana,red,pepper,pepper,4.03793130434056e-10,0
overinformative,orange,carrot,blue,banana,red,pepper,red,1.0829291979739886e-8,0
overinformative,orange,carrot,blue,banana,red,pepper,blue_banana,5.322622641006578e-10,0
overinformative,orange,carrot,blue,banana,red,pepper,banana,0.000026947303528055613,0
overinformative,orange,carrot,blue,banana,red,pepper,blue,3.4425117881001705e-10,0
overinformative,orange,carrot,blue,banana,red,pepper,orange_carrot,0.3718156596317638,0
overinformative,orange,carrot,blue,banana,red,pepper,carrot,0.49815624268838443,0
overinformative,orange,carrot,blue,banana,red,pepper,orange,0.13000113819327788,0
overinformative,black,avocado,brown,carrot,red,pepper,red_pepper,1.2597274611034447e-10,0
overinformative,black,avocado,brown,carrot,red,pepper,pepper,9.929451616016003e-10,0
overinformative,black,avocado,brown,carrot,red,pepper,red,3.246305790760402e-9,0
overinformative,black,avocado,brown,carrot,red,pepper,brown_carrot,7.047062834555123e-10,0
overinformative,black,avocado,brown,carrot,red,pepper,carrot,5.632625996027696e-7,0
overinformative,black,avocado,brown,carrot,red,pepper,brown,3.2952651739494637e-9,0
overinformative,black,avocado,brown,carrot,red,pepper,black_avocado,0.40464578536942825,0
overinformative,black,avocado,brown,carrot,red,pepper,avocado,0.4075747799178515,0
overinformative,black,avocado,brown,carrot,red,pepper,black,0.18777886308492542,0
informative,blue,apple,green,apple,brown,carrot,brown_carrot,9.849390612767711e-10,0
informative,blue,apple,green,apple,brown,carrot,carrot,0.0000017170944531607939,0
informative,blue,apple,green,apple,brown,carrot,brown,3.619645778169958e-9,0
informative,blue,apple,green,apple,brown,carrot,green_apple,1.6493088558553853e-8,0
informative,blue,apple,green,apple,brown,carrot,green,7.27605037247081e-8,0
informative,blue,apple,green,apple,brown,carrot,blue_apple,0.6409287182578014,0
informative,blue,apple,green,apple,brown,carrot,apple,0.000004937898897778409,0
informative,blue,apple,green,apple,brown,carrot,blue,0.35906453289067053,0
overinformative-cc,red,avocado,red,apple,brown,carrot,brown_carrot,2.4310962062597604e-8,0
overinformative-cc,red,avocado,red,apple,brown,carrot,carrot,8.317893261622207e-7,0
overinformative-cc,red,avocado,red,apple,brown,carrot,brown,0.0000014696291757770445,0
overinformative-cc,red,avocado,red,apple,brown,carrot,red_apple,5.4967458394847704e-9,0
overinformative-cc,red,avocado,red,apple,brown,carrot,apple,1.1025708282989068e-9,0
overinformative-cc,red,avocado,red,apple,brown,carrot,red_avocado,0.47903452132812935,0
overinformative-cc,red,avocado,red,apple,brown,carrot,avocado,0.5207457481227816,0
overinformative-cc,red,avocado,red,apple,brown,carrot,red,0.00021739822030859547,0
overinformative-cc,green,avocado,green,pepper,red,pepper,red_pepper,7.594030572173467e-10,0
overinformative-cc,green,avocado,green,pepper,red,pepper,red,5.388683726068277e-10,0
overinformative-cc,green,avocado,green,pepper,red,pepper,green_pepper,2.1142355835269113e-10,0
overinformative-cc,green,avocado,green,pepper,red,pepper,pepper,2.0857239541089934e-11,0
overinformative-cc,green,avocado,green,pepper,red,pepper,green_avocado,0.36885105221519493,0
overinformative-cc,green,avocado,green,pepper,red,pepper,avocado,0.6310770993515313,0
overinformative-cc,green,avocado,green,pepper,red,pepper,green,0.00007184690272139646,0
informative,orange,pear,blue,banana,green,pear,green_pear,1.0611067146754645e-7,0
informative,orange,pear,blue,banana,green,pear,green,2.024041899367284e-7,0
informative,orange,pear,blue,banana,green,pear,blue_banana,1.3417510943719748e-9,0
informative,orange,pear,blue,banana,green,pear,banana,0.000019927584602516645,0
informative,orange,pear,blue,banana,green,pear,blue,2.5841740326668805e-9,0
informative,orange,pear,blue,banana,green,pear,orange_pear,0.5725766452906982,0
informative,orange,pear,blue,banana,green,pear,pear,0.0006211312854383167,0
informative,orange,pear,blue,banana,green,pear,orange,0.4267819833984743,0
overinformative,red,pepper,green,apple,brown,carrot,brown_carrot,3.674458632665633e-10,0
overinformative,red,pepper,green,apple,brown,carrot,carrot,8.219407001062331e-7,0
overinformative,red,pepper,green,apple,brown,carrot,brown,2.0774025594096558e-9,0
overinformative,red,pepper,green,apple,brown,carrot,green_apple,2.307361290865775e-10,0
overinformative,red,pepper,green,apple,brown,carrot,apple,1.5311154001145458e-10,0
overinformative,red,pepper,green,apple,brown,carrot,green,9.472199274629e-9,0
overinformative,red,pepper,green,apple,brown,carrot,red_pepper,0.3838353504929325,0
overinformative,red,pepper,green,apple,brown,carrot,pepper,0.4632057573923131,0
overinformative,red,pepper,green,apple,brown,carrot,red,0.15295805787315897,0
overinformative,brown,carrot,blue,apple,green,pear,green_pear,2.6495193934339805e-10,0
overinformative,brown,carrot,blue,apple,green,pear,pear,4.874828470376581e-10,0
overinformative,brown,carrot,blue,apple,green,pear,green,1.6856470416192166e-7,0
overinformative,brown,carrot,blue,apple,green,pear,blue_apple,4.043849407972131e-10,0
overinformative,brown,carrot,blue,apple,green,pear,apple,0.000006402453230520242,0
overinformative,brown,carrot,blue,apple,green,pear,blue,1.0986560130721075e-9,0
overinformative,brown,carrot,blue,apple,green,pear,brown_carrot,0.5158798158648676,0
overinformative,brown,carrot,blue,apple,green,pear,carrot,0.2493838671279279,0
overinformative,brown,carrot,blue,apple,green,pear,brown,0.2347297437337943,0
overinformative,yellow,banana,orange,pear,green,tomato,green_tomato,1.120431515056104e-10,0
overinformative,yellow,banana,orange,pear,green,tomato,tomato,1.6971135512597285e-8,0
overinformative,yellow,banana,orange,pear,green,tomato,green,1.6248763859211514e-9,0
overinformative,yellow,banana,orange,pear,green,tomato,orange_pear,2.937263573244953e-9,0
overinformative,yellow,banana,orange,pear,green,tomato,pear,1.6647499242565416e-7,0
overinformative,yellow,banana,orange,pear,green,tomato,orange,7.573330788610301e-8,0
overinformative,yellow,banana,orange,pear,green,tomato,yellow_banana,0.383264763686341,0
overinformative,yellow,banana,orange,pear,green,tomato,banana,0.49090875203130446,0
overinformative,yellow,banana,orange,pear,green,tomato,yellow,0.12582622042873542,0
overinformative,red,tomato,green,pear,orange,pear,orange_pear,5.1886625939130436e-9,0
overinformative,red,tomato,green,pear,orange,pear,orange,9.807250948286682e-9,0
overinformative,red,tomato,green,pear,orange,pear,green_pear,2.641508060226595e-9,0
overinformative,red,tomato,green,pear,orange,pear,pear,7.827860268331635e-11,0
overinformative,red,tomato,green,pear,orange,pear,green,2.4413388605103576e-7,0
overinformative,red,tomato,green,pear,orange,pear,red_tomato,0.2395164611625926,0
overinformative,red,tomato,green,pear,orange,pear,tomato,0.588115284915603,0
overinformative,red,tomato,green,pear,orange,pear,red,0.17236799207221798,0
overinformative,yellow,pear,red,apple,black,avocado,black_avocado,1.2088942489228935e-10,0
overinformative,yellow,pear,red,apple,black,avocado,avocado,4.268892271396474e-9,0
overinformative,yellow,pear,red,apple,black,avocado,black,1.535811213317076e-10,0
overinformative,yellow,pear,red,apple,black,avocado,red_apple,3.596744287935007e-10,0
overinformative,yellow,pear,red,apple,black,avocado,apple,2.5716628282267454e-9,0
overinformative,yellow,pear,red,apple,black,avocado,red,9.087689721666423e-9,0
overinformative,yellow,pear,red,apple,black,avocado,yellow_pear,0.3745140372433524,0
overinformative,yellow,pear,red,apple,black,avocado,pear,0.49102681269339304,0
overinformative,yellow,pear,red,apple,black,avocado,yellow,0.13445913350086477,0
overinformative,brown,banana,green,avocado,orange,pepper,orange_pepper,1.1795105751675396e-9,0
overinformative,brown,banana,green,avocado,orange,pepper,pepper,6.010835215868769e-9,0
overinformative,brown,banana,green,avocado,orange,pepper,orange,1.2496476563053958e-8,0
overinformative,brown,banana,green,avocado,orange,pepper,green_avocado,1.4277926701927268e-10,0
overinformative,brown,banana,green,avocado,orange,pepper,avocado,2.9664546841002216e-10,0
overinformative,brown,banana,green,avocado,orange,pepper,green,1.4469456584516926e-7,0
overinformative,brown,banana,green,avocado,orange,pepper,brown_banana,0.47903698000619765,0
overinformative,brown,banana,green,avocado,orange,pepper,banana,0.3680282449423225,0
overinformative,brown,banana,green,avocado,orange,pepper,brown,0.15293461023066698,0
informative,orange,pepper,blue,apple,black,pepper,black_pepper,3.4492005542908646e-8,0
informative,orange,pepper,blue,apple,black,pepper,black,1.8609080332240947e-9,0
informative,orange,pepper,blue,apple,black,pepper,blue_apple,2.9028945056781655e-9,0
informative,orange,pepper,blue,apple,black,pepper,apple,0.000010151708311633757,0
informative,orange,pepper,blue,apple,black,pepper,blue,9.115084425767796e-10,0
informative,orange,pepper,blue,apple,black,pepper,orange_pepper,0.6127309851401301,0
informative,orange,pepper,blue,apple,black,pepper,pepper,0.12337137722484746,0
informative,orange,pepper,blue,apple,black,pepper,orange,0.2638874457593942,0
overinformative-cc,green,apple,red,avocado,green,tomato,green_tomato,4.552035100236345e-9,0
overinformative-cc,green,apple,red,avocado,green,tomato,tomato,3.929532022482107e-8,0
overinformative-cc,green,apple,red,avocado,green,tomato,red_avocado,1.2341740780712076e-9,0
overinformative-cc,green,apple,red,avocado,green,tomato,avocado,6.056504930390043e-8,0
overinformative-cc,green,apple,red,avocado,green,tomato,red,0.0000023363899007141474,0
overinformative-cc,green,apple,red,avocado,green,tomato,green_apple,0.37456444946972767,0
overinformative-cc,green,apple,red,avocado,green,tomato,apple,0.6214447027992794,0
overinformative-cc,green,apple,red,avocado,green,tomato,green,0.003988405694513555,0
overinformative,yellow,banana,blue,apple,orange,pepper,orange_pepper,2.1242057253251075e-10,0
overinformative,yellow,banana,blue,apple,orange,pepper,pepper,5.942740697457352e-9,0
overinformative,yellow,banana,blue,apple,orange,pepper,orange,1.9811167493657693e-7,0
overinformative,yellow,banana,blue,apple,orange,pepper,blue_apple,2.645438388798638e-10,0
overinformative,yellow,banana,blue,apple,orange,pepper,apple,0.000006054037624111021,0
overinformative,yellow,banana,blue,apple,orange,pepper,blue,5.935665524992339e-10,0
overinformative,yellow,banana,blue,apple,orange,pepper,yellow_banana,0.3713473081754307,0
overinformative,yellow,banana,blue,apple,orange,pepper,banana,0.5133366909464994,0
overinformative,yellow,banana,blue,apple,orange,pepper,yellow,0.11530974171549913,0
overinformative,green,tomato,yellow,banana,pink,carrot,pink_carrot,0.000003499357920656796,0
overinformative,green,tomato,yellow,banana,pink,carrot,carrot,0.0000018812863497166015,0
overinformative,green,tomato,yellow,banana,pink,carrot,pink,9.520443652035645e-7,0
overinformative,green,tomato,yellow,banana,pink,carrot,yellow_banana,6.656081488675044e-11,0
overinformative,green,tomato,yellow,banana,pink,carrot,banana,5.699206467140987e-10,0
overinformative,green,tomato,yellow,banana,pink,carrot,yellow,9.605412958047378e-9,0
overinformative,green,tomato,yellow,banana,pink,carrot,green_tomato,0.4340888106535006,0
overinformative,green,tomato,yellow,banana,pink,carrot,tomato,0.3899361017725416,0
overinformative,green,tomato,yellow,banana,pink,carrot,green,0.17596874464342782,0
overinformative,red,avocado,orange,carrot,black,pepper,black_pepper,4.962414322751015e-10,0
overinformative,red,avocado,orange,carrot,black,pepper,pepper,0.0000012700086135733402,0
overinformative,red,avocado,orange,carrot,black,pepper,black,3.343481208437537e-9,0
overinformative,red,avocado,orange,carrot,black,pepper,orange_carrot,3.854751073262389e-10,0
overinformative,red,avocado,orange,carrot,black,pepper,carrot,1.0743307411047298e-10,0
overinformative,red,avocado,orange,carrot,black,pepper,orange,1.3432697696381193e-9,0
overinformative,red,avocado,orange,carrot,black,pepper,red_avocado,0.48921653778827545,0
overinformative,red,avocado,orange,carrot,black,pepper,avocado,0.45855726515121314,0
