condition,TargetColor,TargetType,Dist1Color,Dist1Type,Dist2Color,Dist2Type,value,prob,MCMCprob
overinformative,red,avocado,orange,carrot,black,pepper,red,0.05222492137599735,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,green_tomato,3.8105757494762507e-10,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,tomato,4.918420826969734e-8,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,green,3.629165519945749e-9,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,orange_pear,0.000019665041146416978,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,pear,1.0778390224658305e-7,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,orange_pepper,0.4550884225073357,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,pepper,0.5416218230589148,0
overinformative-cc,orange,pepper,orange,pear,green,tomato,orange,0.0032699284142694712,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,red_pepper,5.455643442016445e-10,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,orange_pepper,1.5538225554656977e-10,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,pepper,3.560330869577932e-11,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,orange,1.8485172731742054e-8,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,red_tomato,0.39698138706903896,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,tomato,0.5984331224201004,0
overinformative-cc,red,tomato,orange,pepper,red,pepper,red,0.004585471289137836,0
informative,red,apple,blue,apple,yellow,banana,yellow_banana,4.0494925139890495e-10,0
informative,red,apple,blue,apple,yellow,banana,banana,3.676384894694179e-10,0
informative,red,apple,blue,apple,yellow,banana,yellow,3.863943666520226e-9,0
informative,red,apple,blue,apple,yellow,banana,blue_apple,3.280203873740554e-8,0
informative,red,apple,blue,apple,yellow,banana,blue,1.0999973670259e-9,0
informative,red,apple,blue,apple,yellow,banana,red_apple,0.4669933655189664,0
informative,red,apple,blue,apple,yellow,banana,apple,0.3588483081820514,0
informative,red,apple,blue,apple,yellow,banana,red,0.1741582877604147,0
informative,orange,carrot,yellow,banana,brown,carrot,brown_carrot,4.180257071578058e-7,0
informative,orange,carrot,yellow,banana,brown,carrot,brown,1.0526378730333157e-8,0
informative,orange,carrot,yellow,banana,brown,carrot,yellow_banana,4.974313096510529e-10,0
informative,orange,carrot,yellow,banana,brown,carrot,banana,5.02292218700805e-10,0
informative,orange,carrot,yellow,banana,brown,carrot,yellow,2.1174526536681757e-7,0
informative,orange,carrot,yellow,banana,brown,carrot,orange_carrot,0.46644743437380826,0
informative,orange,carrot,yellow,banana,brown,carrot,carrot,0.32362583460530775,0
informative,orange,carrot,yellow,banana,brown,carrot,orange,0.2099260897238093,0
informative,green,pear,red,apple,orange,pear,orange_pear,0.0000036639421985092148,0
informative,green,pear,red,apple,orange,pear,orange,8.75614249043266e-9,0
informative,green,pear,red,apple,orange,pear,red_apple,8.439100150316435e-11,0
informative,green,pear,red,apple,orange,pear,apple,1.5791980831049184e-8,0
informative,green,pear,red,apple,orange,pear,red,2.2126482425463283e-8,0
informative,green,pear,red,apple,orange,pear,green_pear,0.5888123034456432,0
informative,green,pear,red,apple,orange,pear,pear,0.2148283343237124,0
informative,green,pear,red,apple,orange,pear,green,0.19635565152944914,0
informative,blue,apple,green,apple,yellow,pear,yellow_pear,8.128850151776472e-10,0
informative,blue,apple,green,apple,yellow,pear,pear,4.105136723649166e-10,0
informative,blue,apple,green,apple,yellow,pear,yellow,8.122781292859343e-8,0
informative,blue,apple,green,apple,yellow,pear,green_apple,1.56708859007929e-8,0
informative,blue,apple,green,apple,yellow,pear,green,6.962955454152443e-8,0
informative,blue,apple,green,apple,yellow,pear,blue_apple,0.6380934664595241,0
informative,blue,apple,green,apple,yellow,pear,apple,0.000004665339286721128,0
informative,blue,apple,green,apple,yellow,pear,blue,0.36190170044953685,0
overinformative,blue,apple,yellow,banana,yellow,pear,yellow_pear,6.011650586989622e-10,0
overinformative,blue,apple,yellow,banana,yellow,pear,pear,3.315125665289574e-10,0
overinformative,blue,apple,yellow,banana,yellow,pear,yellow_banana,4.2194271124420394e-10,0
overinformative,blue,apple,yellow,banana,yellow,pear,banana,2.2227407418013697e-10,0
overinformative,blue,apple,yellow,banana,yellow,pear,yellow,1.2521087772128394e-9,0
