condition,target,priorWeight,label,prob
item12,convertible,0.05,type,0.3981
item12,convertible,0.05,basicLevel,0.3957
item12,convertible,0.05,superDomain,0.2063
item12,minivan,0.05,type,0.4428
item12,minivan,0.05,basicLevel,0.3662
item12,minivan,0.05,superDomain,0.1910
item12,sportsCar,0.05,type,0.4304
item12,sportsCar,0.05,basicLevel,0.3744
item12,sportsCar,0.05,superDomain,0.1952
item12,suv,0.05,type,0.5022
item12,suv,0.05,basicLevel,0.3272
item12,suv,0.05,superDomain,0.1706
item22,convertible,0.05,type,0.2852
item22,convertible,0.05,basicLevel,0.5670
item22,convertible,0.05,superDomain,0.1478
item22,minivan,0.05,type,0.3241
item22,minivan,0.05,basicLevel,0.5361
item22,minivan,0.05,superDomain,0.1398
item22,sportsCar,0.05,type,0.3132
item22,sportsCar,0.05,basicLevel,0.5448
item22,sportsCar,0.05,superDomain,0.1420
item22,suv,0.05,type,0.3784
item22,suv,0.05,basicLevel,0.4930
item22,suv,0.05,superDomain,0.1285
item23,convertible,0.05,type,0.2655
item23,convertible,0.05,basicLevel,0.5279
item23,convertible,0.05,superDomain,0.2066
item23,minivan,0.05,type,0.3029
item23,minivan,0.05,basicLevel,0.5010
item23,minivan,0.05,superDomain,0.1961
item23,sportsCar,0.05,type,0.2924
item23,sportsCar,0.05,basicLevel,0.5086
item23,sportsCar,0.05,superDomain,0.1990
item23,suv,0.05,type,0.3555
item23,suv,0.05,basicLevel,0.4632
item23,suv,0.05,superDomain,0.1813
item33,convertible,0.05,type,0.2201
item33,convertible,0.05,basicLevel,0.4375
item33,convertible,0.05,superDomain,0.3425
item33,minivan,0.05,type,0.2532
item33,minivan,0.05,basicLevel,0.4189
item33,minivan,0.05,superDomain,0.3279
item33,sportsCar,0.05,type,0.2438
item33,sportsCar,0.05,basicLevel,0.4241
item33,sportsCar,0.05,superDomain,0.3320
item33,suv,0.05,type,0.3009
item33,suv,0.05,basicLevel,0.3921
item33,suv,0.05,superDomain,0.3070
