Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
avocado,green,green_avocado,green avocado,0.975,0.961491379310345,0.985287356321839
avocado,green,green_pear,green avocado,0.019,0.00454545454545455,0.0390909090909091
avocado,green,green_pepper,green avocado,0.119,0.0213928571428571,0.262892857142857
avocado,green,green_tomato,green avocado,0.028,0.00625,0.05125
avocado,green,orange_carrot,green avocado,0.006,0,0.013
avocado,green,orange_pear,green avocado,0.02,0.005,0.0383333333333333
avocado,green,orange_pepper,green avocado,0,0,0
avocado,green,pink_carrot,green avocado,0.019,0.00398333333333334,0.0400166666666667
avocado,green,pink_tomato,green avocado,0.047,0.0136363636363636,0.0918181818181818
avocado,green,red_apple,green avocado,0.06,0.004,0.16
avocado,green,red_avocado,green avocado,0.214,0.174471264367816,0.260804597701149
avocado,green,red_pepper,green avocado,0.054,0.0111111111111111,0.113333333333333
avocado,green,red_tomato,green avocado,0.024,0.00996428571428572,0.04
avocado,green,yellow_banana,green avocado,0.052,0.006,0.128025
avocado,green,yellow_pear,green avocado,0.006,0.00125,0.0125
avocado,red,black_avocado,red avocado,0.339,0.28033908045977,0.402545977011494
avocado,red,black_pepper,red avocado,0.03,0.0117647058823529,0.0523529411764706
avocado,red,blue_apple,red avocado,0.017,0.00270454545454546,0.0436363636363636
avocado,red,blue_banana,red avocado,0.021,0.00285714285714286,0.0457142857142857
avocado,red,brown_banana,red avocado,0.028,0.00545454545454545,0.0572954545454545
avocado,red,brown_carrot,red avocado,0.028,0.00166666666666667,0.075
avocado,red,green_apple,red avocado,0.037,0.00285714285714286,0.0943214285714285
avocado,red,green_avocado,red avocado,0.285,0.226175287356322,0.341379310344828
avocado,red,green_pear,red avocado,0.035,0.01,0.065
avocado,red,green_pepper,red avocado,0.155,0.02,0.29
avocado,red,green_tomato,red avocado,0.048,0.0126666666666667,0.0986833333333333
avocado,red,orange_carrot,red avocado,0.06,0.00777777777777778,0.114444444444444
avocado,red,orange_pear,red avocado,0.068,0.0161538461538462,0.135538461538461
avocado,red,orange_pepper,red avocado,0.041,0.0144444444444444,0.0727777777777778
avocado,red,pink_carrot,red avocado,0.019,0.00285714285714286,0.0442857142857143
avocado,red,pink_tomato,red avocado,0.045,0.01496875,0.08375
avocado,red,red_apple,red avocado,0.226,0.0128571428571428,0.508571428571429
avocado,red,red_avocado,red avocado,0.858,0.802146551724138,0.907135057471264
avocado,red,red_pepper,red avocado,0.189,0.00571428571428573,0.474285714285714
avocado,red,red_tomato,red avocado,0.036,0,0.10875
avocado,red,yellow_banana,red avocado,0.028,0,0.0825
avocado,red,yellow_pear,red avocado,0.08,0.018,0.14005
banana,blue,black_avocado,blue banana,0.041,0.012,0.073
banana,blue,black_pepper,blue banana,0.06,0.00428571428571429,0.121428571428571
banana,blue,blue_apple,blue banana,0.062,0.0116458333333333,0.136666666666667
banana,blue,blue_banana,blue banana,0.919,0.871948275862069,0.958163793103448
banana,blue,brown_banana,blue banana,0.163,0.123103448275862,0.202876436781609
banana,blue,brown_carrot,blue banana,0.028,0.00166666666666667,0.075
banana,blue,green_apple,blue banana,0.024,0.00857142857142857,0.0421428571428571
banana,blue,green_avocado,blue banana,0.005,0.00142857142857143,0.00928571428571429
banana,blue,green_pear,blue banana,0.047,0.01,0.0983333333333333
banana,blue,green_pepper,blue banana,0.02,0.00111111111111111,0.0477777777777778
banana,blue,green_tomato,blue banana,0.024,0.00857142857142857,0.04
banana,blue,orange_carrot,blue banana,0.022,0,0.046
banana,blue,orange_pear,blue banana,0.017,0,0.05
banana,blue,orange_pepper,blue banana,0.034,0.01,0.058
banana,blue,pink_carrot,blue banana,0.014,0.00214285714285714,0.0328571428571429
banana,blue,pink_tomato,blue banana,0.051,0.01,0.1
banana,blue,red_apple,blue banana,0.027,0.009,0.049
banana,blue,red_avocado,blue banana,0.02,0.00375,0.045
banana,blue,red_pepper,blue banana,0.008,0,0.019
banana,blue,red_tomato,blue banana,0.018,0,0.042
banana,blue,yellow_banana,blue banana,0.151,0.117011494252874,0.190137931034483
banana,blue,yellow_pear,blue banana,0.011,0,0.0225
banana,brown,black_avocado,brown banana,0.004,0,0.0128571428571429
banana,brown,black_pepper,brown banana,0.005,0,0.015
banana,brown,blue_apple,brown banana,0.126,0.0208409090909091,0.252795454545454
banana,brown,blue_banana,brown banana,0.159,0.120215517241379,0.199658045977011
banana,brown,brown_banana,brown banana,0.909,0.861471264367816,0.950462643678161
banana,brown,brown_carrot,brown banana,0.061,0.00333333333333333,0.142222222222222
banana,brown,green_apple,brown banana,0.012,0,0.0283333333333333
banana,brown,green_avocado,brown banana,0.027,0.005,0.0616666666666667
banana,brown,green_pear,brown banana,0.013,0,0.04
banana,brown,green_pepper,brown banana,0.004,0,0.0111111111111111
banana,brown,green_tomato,brown banana,0.003,0,0.00714285714285714
banana,brown,orange_carrot,brown banana,0.012,0.005,0.02
banana,brown,orange_pear,brown banana,0.024,0.00384615384615385,0.0515576923076923
banana,brown,orange_pepper,brown banana,0.049,0.0135294117647059,0.09825
banana,brown,pink_carrot,brown banana,0.054,0.00428571428571429,0.141428571428571
banana,brown,pink_tomato,brown banana,0.012,0.00179545454545455,0.0236363636363636
banana,brown,red_apple,brown banana,0.02,0.00857142857142857,0.0364285714285714
banana,brown,red_avocado,brown banana,0.018,0.00222222222222222,0.0389166666666666
banana,brown,red_pepper,brown banana,0.01,0,0.02
banana,brown,red_tomato,brown banana,0.034,0.005,0.0743214285714285
banana,brown,yellow_banana,brown banana,0.32,0.265727011494253,0.377022988505747
banana,brown,yellow_pear,brown banana,0.053,0.0176730769230769,0.0953846153846154
banana,yellow,black_avocado,yellow banana,0.09,0.0525,0.125
banana,yellow,black_pepper,yellow banana,0.031,0.002125,0.0742857142857143
banana,yellow,blue_apple,yellow banana,0.013,0.00263157894736842,0.0257894736842105
banana,yellow,blue_banana,yellow banana,0.171,0.132755747126437,0.210117816091954
banana,yellow,brown_banana,yellow banana,0.244,0.202744252873563,0.290120689655172
banana,yellow,brown_carrot,yellow banana,0.043,0,0.09225
banana,yellow,green_apple,yellow banana,0.112,0.002,0.29805
banana,yellow,green_avocado,yellow banana,0.033,0.00888888888888889,0.0622222222222222
banana,yellow,green_pear,yellow banana,0.073,0.0142857142857143,0.171428571428571
