Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
apple,blue,black_avocado,blue apple,0.032,0.00214285714285714,0.0650178571428571
apple,blue,black_pepper,blue apple,0.031,0.00571428571428571,0.0642857142857143
apple,blue,blue_apple,blue apple,0.913,0.86658125,0.95051875
apple,blue,blue_banana,blue apple,0.06,0.0246153846153846,0.102307692307692
apple,blue,brown_banana,blue apple,0.038,0.004,0.083
apple,blue,brown_carrot,blue apple,0.032,0.00846153846153846,0.0654038461538461
apple,blue,green_apple,blue apple,0.178,0.145652083333333,0.212004166666667
apple,blue,green_avocado,blue apple,0.031,0.00625,0.06875
apple,blue,green_pear,blue apple,0.026,0.00333333333333333,0.0516875
apple,blue,green_pepper,blue apple,0.069,0.01875,0.135015625
apple,blue,green_tomato,blue apple,0.021,0.005,0.042875
apple,blue,orange_carrot,blue apple,0.025,0.00798333333333334,0.0493333333333333
apple,blue,orange_pear,blue apple,0.014,0.00428571428571429,0.025
apple,blue,orange_pepper,blue apple,0.013,0.00111111111111111,0.0322222222222222
apple,blue,pink_carrot,blue apple,0.015,0.00333333333333333,0.03
apple,blue,pink_tomato,blue apple,0.094,0.0436,0.16002
apple,blue,red_apple,blue apple,0.166,0.13525,0.199014583333333
apple,blue,red_avocado,blue apple,0.006,0,0.01375
apple,blue,red_pepper,blue apple,0.01,0.00166666666666667,0.0216666666666667
apple,blue,red_tomato,blue apple,0.037,0.00142857142857143,0.0942857142857143
apple,blue,yellow_banana,blue apple,0.049,0.0238461538461538,0.0784615384615385
apple,blue,yellow_pear,blue apple,0.048,0.00166666666666666,0.12
apple,green,black_avocado,green apple,0.058,0.0154875,0.1170125
apple,green,black_pepper,green apple,0.02,0,0.06
apple,green,blue_apple,green apple,0.194,0.158910416666667,0.23359375
apple,green,blue_banana,green apple,0.037,0.0107142857142857,0.0793035714285714
apple,green,brown_banana,green apple,0.038,0.0115384615384615,0.0761730769230769
apple,green,brown_carrot,green apple,0.014,0.005,0.025
apple,green,green_apple,green apple,0.967,0.941916666666667,0.984416666666667
apple,green,green_avocado,green apple,0.065,0.017,0.122
apple,green,green_pear,green apple,0.069,0.01595,0.122025
apple,green,green_pepper,green apple,0.06,0.0181818181818182,0.110909090909091
apple,green,green_tomato,green apple,0.039,0.0136363636363636,0.0681818181818182
apple,green,orange_carrot,green apple,0.02,0.00125,0.0525
apple,green,orange_pear,green apple,0.072,0.0215384615384615,0.130019230769231
apple,green,orange_pepper,green apple,0.036,0.00375,0.08125
apple,green,pink_carrot,green apple,0.024,0.00611111111111111,0.0494444444444444
apple,green,pink_tomato,green apple,0.029,0.005,0.06
apple,green,red_apple,green apple,0.228,0.189572916666667,0.268754166666667
apple,green,red_avocado,green apple,0.022,0.00727272727272727,0.04275
apple,green,red_pepper,green apple,0.033,0.00642857142857143,0.0735892857142857
apple,green,red_tomato,green apple,0.105,0.01,0.28125
apple,green,yellow_banana,green apple,0.016,0.0080952380952381,0.0247738095238095
apple,green,yellow_pear,green apple,0.037,0.0121428571428571,0.0728571428571429
apple,red,black_avocado,red apple,0.022,0.005,0.044
apple,red,black_pepper,red apple,0.037,0.0083125,0.0658541666666667
apple,red,blue_apple,red apple,0.174,0.143827083333333,0.207583333333333
apple,red,blue_banana,red apple,0.018,0.003,0.036
apple,red,brown_banana,red apple,0.028,0.01,0.051025
apple,red,brown_carrot,red apple,0.04,0.00833333333333333,0.0766666666666667
apple,red,green_apple,red apple,0.25,0.2086625,0.2900875
apple,red,green_avocado,red apple,0.022,0.00590909090909091,0.0463636363636364
apple,red,green_pear,red apple,0.038,0.00181818181818182,0.101818181818182
apple,red,green_pepper,red apple,0.034,0.00121875,0.09375
apple,red,green_tomato,red apple,0.034,0.00357142857142857,0.0900178571428571
apple,red,orange_carrot,red apple,0.02,0.00714285714285714,0.0371428571428571
apple,red,orange_pear,red apple,0.054,0.007,0.135
apple,red,orange_pepper,red apple,0.045,0.005,0.09875
apple,red,pink_carrot,red apple,0.033,0.0140909090909091,0.0531931818181818
apple,red,pink_tomato,red apple,0.045,0.0169875,0.084
apple,red,red_apple,red apple,0.984,0.978497916666667,0.988666666666667
apple,red,red_avocado,red apple,0.053,0.0155555555555556,0.0944722222222222
apple,red,red_pepper,red apple,0.051,0.025,0.08125
apple,red,red_tomato,red apple,0.039,0.00714285714285715,0.0743214285714285
apple,red,yellow_banana,red apple,0.063,0.0166388888888889,0.121666666666667
apple,red,yellow_pear,red apple,0.019,0.005,0.0400208333333333
avocado,black,black_avocado,black avocado,0.949,0.921995833333333,0.970585416666667
avocado,black,black_pepper,black avocado,0.1,0.0166666666666667,0.196666666666667
avocado,black,blue_apple,black avocado,0.035,0.00833333333333333,0.07
avocado,black,blue_banana,black avocado,0.022,0.007,0.040025
avocado,black,brown_banana,black avocado,0.019,0.00533333333333333,0.0386833333333333
avocado,black,brown_carrot,black avocado,0.053,0.0210972222222222,0.0916666666666667
avocado,black,green_apple,black avocado,0.029,0.01,0.05
avocado,black,green_avocado,black avocado,0.359,0.31325,0.410089583333333
avocado,black,green_pear,black avocado,0.024,0.00641071428571429,0.0457142857142857
avocado,black,green_pepper,black avocado,0.046,0.0192307692307692,0.0792307692307692
avocado,black,green_tomato,black avocado,0.005,0.000714285714285714,0.0107142857142857
avocado,black,orange_carrot,black avocado,0.021,0,0.06125
avocado,black,orange_pear,black avocado,0.009,0,0.0171428571428571
avocado,black,orange_pepper,black avocado,0.018,0.00285714285714286,0.0421428571428571
avocado,black,pink_carrot,black avocado,0.022,0.00416666666666667,0.0491666666666667
avocado,black,pink_tomato,black avocado,0.007,0.00111111111111111,0.0144444444444444
avocado,black,red_apple,black avocado,0.02,0.00375,0.0375
avocado,black,red_avocado,black avocado,0.202,0.168491666666667,0.238666666666667
avocado,black,red_pepper,black avocado,0.035,0.00166666666666666,0.0800416666666666
avocado,black,red_tomato,black avocado,0.012,0.003,0.022
avocado,black,yellow_banana,black avocado,0.019,0.00761904761904762,0.0328690476190476
avocado,black,yellow_pear,black avocado,0.085,0.0284615384615385,0.148480769230769
avocado,green,black_avocado,green avocado,0.274,0.232652083333333,0.322335416666667
avocado,green,black_pepper,green avocado,0.042,0.00846153846153846,0.0823076923076923
avocado,green,blue_apple,green avocado,0.051,0.0241666666666667,0.0791666666666667
avocado,green,blue_banana,green avocado,0.016,0.00181818181818182,0.0354545454545455
avocado,green,brown_banana,green avocado,0.017,0.00333333333333333,0.0358333333333333
avocado,green,brown_carrot,green avocado,0.022,0.006,0.0465
avocado,green,green_apple,green avocado,0.06,0.00545454545454545,0.132727272727273
avocado,green,green_avocado,green avocado,0.975,0.96508125,0.983254166666667
avocado,green,green_pear,green avocado,0.019,0.00452272727272727,0.04
avocado,green,green_pepper,green avocado,0.119,0.0271428571428571,0.261428571428571
avocado,green,green_tomato,green avocado,0.028,0.0075,0.05375
avocado,green,orange_carrot,green avocado,0.006,0.001,0.013
avocado,green,orange_pear,green avocado,0.02,0.005,0.0367083333333333
avocado,green,orange_pepper,green avocado,0.036,0.005,0.0921428571428571
avocado,green,pink_carrot,green avocado,0.019,0.00333333333333333,0.0413333333333333
avocado,green,pink_tomato,green avocado,0.047,0.0136363636363636,0.0882045454545454
avocado,green,red_apple,green avocado,0.031,0.00857142857142857,0.0685714285714286
avocado,green,red_avocado,green avocado,0.216,0.17533125,0.253679166666667
avocado,green,red_pepper,green avocado,0.054,0.0122222222222222,0.116694444444444
avocado,green,red_tomato,green avocado,0.024,0.01,0.0414285714285714
avocado,green,yellow_banana,green avocado,0.052,0.007,0.127
avocado,green,yellow_pear,green avocado,0.006,0.00125,0.0125
avocado,red,black_avocado,red avocado,0.326,0.27688125,0.37616875
avocado,red,black_pepper,red avocado,0.065,0.01665625,0.149583333333333
avocado,red,blue_apple,red avocado,0.017,0.00181818181818182,0.0436363636363636
avocado,red,blue_banana,red avocado,0.021,0.00285714285714286,0.0442857142857143
