condition,target,priorWeight,label,prob
item12,eagle,0.001,type,0.5449
item12,eagle,0.001,basicLevel,0.2732
item12,eagle,0.001,superDomain,0.1819
item12,parrot,0.001,type,0.5443
item12,parrot,0.001,basicLevel,0.2736
item12,parrot,0.001,superDomain,0.1821
item12,pigeon,0.001,type,0.5445
item12,pigeon,0.001,basicLevel,0.2735
item12,pigeon,0.001,superDomain,0.1821
item12,hummingBird,0.001,type,0.5428
item12,hummingBird,0.001,basicLevel,0.2745
item12,hummingBird,0.001,superDomain,0.1827
item22,eagle,0.001,type,0.4280
item22,eagle,0.001,basicLevel,0.4292
item22,eagle,0.001,superDomain,0.1429
item22,parrot,0.001,type,0.4274
item22,parrot,0.001,basicLevel,0.4296
item22,parrot,0.001,superDomain,0.1430
item22,pigeon,0.001,type,0.4276
item22,pigeon,0.001,basicLevel,0.4295
item22,pigeon,0.001,superDomain,0.1430
item22,hummingBird,0.001,type,0.4259
item22,hummingBird,0.001,basicLevel,0.4307
item22,hummingBird,0.001,superDomain,0.1434
item23,eagle,0.001,type,0.3994
item23,eagle,0.001,basicLevel,0.4005
item23,eagle,0.001,superDomain,0.2000
item23,parrot,0.001,type,0.3989
item23,parrot,0.001,basicLevel,0.4009
item23,parrot,0.001,superDomain,0.2002
item23,pigeon,0.001,type,0.3990
item23,pigeon,0.001,basicLevel,0.4008
item23,pigeon,0.001,superDomain,0.2001
item23,hummingBird,0.001,type,0.3974
item23,hummingBird,0.001,basicLevel,0.4019
item23,hummingBird,0.001,superDomain,0.2007
item33,eagle,0.001,type,0.3329
item33,eagle,0.001,basicLevel,0.3338
item33,eagle,0.001,superDomain,0.3333
item33,parrot,0.001,type,0.3323
item33,parrot,0.001,basicLevel,0.3341
item33,parrot,0.001,superDomain,0.3336
item33,pigeon,0.001,type,0.3325
item33,pigeon,0.001,basicLevel,0.3340
item33,pigeon,0.001,superDomain,0.3335
item33,hummingBird,0.001,type,0.3310
item33,hummingBird,0.001,basicLevel,0.3347
item33,hummingBird,0.001,superDomain,0.3343
